Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,KILLER,MktPhase,MktRatio,Spike,SpikeScore,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points,GBPNZD_Rule
2025.12.31 20:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Green,Range,0.775,Normal,1.457,FL,0.0,0.000,+3.00,76.3,OK,1,?,New York,0,Run
2025.12.31 21:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.757,Normal,1.457,UP,39.2,0.304,+5.00,51.6,OK,1,Trending,New York,15,Run
2026.01.02 01:00,BUY,Yellow,Green,Green,Green,Green,OK,Green,Range,0.757,Normal,0.205,DN,39.2,0.304,+5.00,65.9,OK,1,Trending,Tokyo,28,Run
2026.01.02 02:00,BUY,Yellow,Green,Green,Green,Green,OK,Green,Range,0.757,Normal,0.193,DN,39.2,0.304,+5.00,58.3,OK,1,Trending,Tokyo,30,Run
2026.01.02 03:00,BUY,Yellow,Green,Green,Green,Green,OK,Green,Range,0.757,Normal,0.034,FL,42.4,0.372,+5.75,53.0,OK,1,Trending,Tokyo,21,Run
2026.01.02 04:00,BUY,Yellow,Green,Green,Green,Green,OK,Green,Range,0.757,Normal,0.657,FL,42.4,0.372,+5.75,52.3,OK,1,Trending,Tokyo,19,Run
2026.01.02 05:00,BUY,Yellow,Green,Green,Green,Green,OK,Green,Range,0.757,Normal,0.094,FL,42.4,0.372,+5.75,45.6,OK,1,Trending,Tokyo,38,Run
2026.01.02 06:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.757,Normal,0.121,UP,42.4,0.372,+5.75,54.5,OK,1,Trending,Tokyo,26,Run
2026.01.02 07:00,BUY,Yellow,Green,Green,Green,Green,OK,Green,Range,0.757,Normal,0.990,FL,45.3,0.321,+8.00,48.1,OK,1,Trending,Tokyo,37,Run
2026.01.02 08:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.757,Normal,0.965,UP,45.3,0.321,+8.00,50.9,OK,1,Trending,Tokyo-London,17,Run
2026.01.02 09:00,BUY,Red,Green,Green,Green,Green,OK,Green,Range,0.757,Normal,1.406,DN,45.3,0.321,+8.00,28.8,OK,1,Trending,London,16,Run
2026.01.02 10:00,BUY,Red,Green,Yellow,Green,Green,OK,Green,Range,0.757,Normal,0.457,DN,45.3,0.321,+8.00,9.6,EDGE,1,Trending,London,16,Run
2026.01.02 11:00,BUY,Green,Yellow,Yellow,Green,Green,OK,Green,Range,0.757,Normal,0.071,FL,41.8,0.161,+4.62,12.5,EDGE,1,Trending,London,23,Run
2026.01.02 12:00,BUY,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,0.150,DN,41.8,0.161,-0.38,4.6,EDGE,1,Trending,London,12,Run
2026.01.02 13:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,0.175,DN,41.8,0.161,-0.38,4.7,EDGE,1,Trending,London-NewYork,24,Run
2026.01.02 14:00,BUY,Green,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,1.275,UP,41.8,0.161,-0.38,12.2,EDGE,1,Trending,London-NewYork,16,Run
2026.01.02 15:00,BUY,Green,Green,Green,Yellow,Green,OK,Green,Range,0.757,Normal,1.437,UP,36.4,0.255,-0.38,31.1,OK,1,Trending,London-NewYork,12,Run
2026.01.02 16:00,BUY,Red,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,0.197,DN,36.4,0.255,-1.38,19.3,EDGE,1,Trending,London-NewYork,16,Run
2026.01.02 17:00,BUY,Green,Green,Green,Yellow,Green,OK,Green,Range,0.757,Normal,0.335,UP,36.4,0.255,-1.38,53.6,OK,1,Trending,New York,17,Run
2026.01.02 18:00,BUY,Red,Green,Green,Yellow,Green,OK,Green,Range,0.757,Normal,0.319,DN,36.4,0.255,-1.38,46.2,OK,1,Trending,New York,24,Run
2026.01.02 19:00,BUY,Red,Yellow,Green,Red,Yellow,OK,Green,Range,0.757,Normal,0.081,DN,34.0,0.187,-4.62,26.4,OK,1,Trending,New York,24,Run
