Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,KILLER,MktPhase,MktRatio,Spike,SpikeScore,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points,GBPNZD_Rule
2025.12.31 20:00,SELL,Yellow,Yellow,Red,Red,Yellow,OK,Green,Range,0.775,Normal,1.457,FL,0.0,0.000,-4.62,76.3,BREAK,1,?,New York,0,Run
2025.12.31 21:00,SELL,Red,Yellow,Yellow,Red,Orange,OK,Green,Range,0.757,Normal,1.457,UP,39.2,0.304,-6.62,51.6,EDGE,1,Trending,New York,15,Run
2026.01.02 01:00,SELL,Yellow,Yellow,Yellow,Red,Orange,OK,Green,Range,0.757,Normal,0.205,DN,39.2,0.304,-6.62,65.9,EDGE,1,Trending,Tokyo,28,Run
2026.01.02 02:00,SELL,Green,Yellow,Yellow,Red,Orange,OK,Green,Range,0.757,Normal,0.193,DN,39.2,0.304,-6.62,58.3,EDGE,1,Trending,Tokyo,30,Run
2026.01.02 03:00,SELL,Yellow,Red,Yellow,Red,Orange,OK,Green,Range,0.757,Normal,0.034,FL,42.4,0.372,-7.38,53.0,EDGE,1,Trending,Tokyo,21,Run
2026.01.02 04:00,SELL,Yellow,Red,Yellow,Red,Orange,OK,Green,Range,0.757,Normal,0.657,FL,42.4,0.372,-7.38,52.3,EDGE,1,Trending,Tokyo,19,Run
2026.01.02 05:00,SELL,Yellow,Red,Yellow,Red,Orange,OK,Green,Range,0.757,Normal,0.094,FL,42.4,0.372,-7.38,45.6,EDGE,1,Trending,Tokyo,38,Run
2026.01.02 06:00,SELL,Red,Red,Yellow,Red,Red,OK,Green,Range,0.757,Normal,0.121,UP,42.4,0.372,-7.38,54.5,EDGE,1,Trending,Tokyo,26,Close
2026.01.02 07:00,SELL,Yellow,Yellow,Yellow,Red,Orange,OK,Green,Range,0.757,Normal,0.990,FL,45.3,0.321,-9.62,48.1,EDGE,1,Trending,Tokyo,37,Close
2026.01.02 08:00,SELL,Red,Yellow,Yellow,Red,Red,OK,Green,Range,0.757,Normal,0.965,UP,45.3,0.321,-9.62,50.9,EDGE,1,Trending,Tokyo-London,17,Close
2026.01.02 09:00,SELL,Green,Yellow,Yellow,Red,Yellow,OK,Green,Range,0.757,Warning,1.406,DN,45.3,0.321,-9.62,28.8,EDGE,1,Trending,London,16,Close
2026.01.02 10:00,SELL,Yellow,Yellow,Yellow,Red,Yellow,OK,Green,Range,0.757,Normal,0.457,DN,45.3,0.321,-9.62,9.6,EDGE,1,Trending,London,16,Close
2026.01.02 11:00,SELL,Red,Green,Yellow,Red,Yellow,OK,Green,Range,0.757,Normal,0.071,FL,41.8,0.161,-6.25,12.5,EDGE,1,Trending,London,23,Close
2026.01.02 12:00,SELL,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,0.150,DN,41.8,0.161,-1.25,4.6,EDGE,1,Trending,London,12,Close
2026.01.02 13:00,SELL,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,0.175,DN,41.8,0.161,-1.25,4.7,EDGE,1,Trending,London-NewYork,24,Close
2026.01.02 14:00,SELL,Red,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,1.275,UP,41.8,0.161,-1.25,12.2,EDGE,1,Trending,London-NewYork,16,Close
2026.01.02 15:00,SELL,Red,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,1.437,UP,36.4,0.255,-1.25,31.1,EDGE,1,Trending,London-NewYork,12,Close
2026.01.02 16:00,SELL,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,0.197,DN,36.4,0.255,+0.00,19.3,EDGE,1,Trending,London-NewYork,16,Close
2026.01.02 17:00,SELL,Red,Green,Yellow,Yellow,Orange,OK,Green,Range,0.757,Normal,0.335,UP,36.4,0.255,+0.00,53.6,EDGE,1,Trending,New York,17,Close
2026.01.02 18:00,SELL,Green,Green,Yellow,Yellow,Orange,OK,Green,Range,0.757,Normal,0.319,DN,36.4,0.255,+0.00,46.2,EDGE,1,Trending,New York,24,Close
2026.01.02 19:00,SELL,Yellow,Green,Yellow,Green,Green,OK,Green,Range,0.757,Normal,0.081,DN,34.0,0.187,+3.00,26.4,EDGE,1,Trending,New York,24,Close
2026.01.02 20:00,SELL,Yellow,Green,Yellow,Green,Green,OK,Green,Range,0.757,Normal,0.131,FL,34.0,0.187,+3.00,29.0,EDGE,1,Trending,New York,19,Close
2026.01.02 21:00,SELL,Yellow,Green,Yellow,Green,Green,OK,Green,Range,0.757,Normal,0.236,DN,34.0,0.187,+3.00,21.6,EDGE,1,Trending,New York,36,Close
2026.01.02 22:00,SELL,Yellow,Green,Yellow,Green,Green,OK,Green,Range,0.757,Normal,0.237,FL,34.0,0.187,+3.00,22.5,EDGE,1,Trending,Off-Hours,31,Close
2026.01.02 23:00,SELL,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.903,FL,31.9,0.143,+1.00,34.5,EDGE,1,Trending,Off-Hours,166,Close
2026.01.05 01:00,SELL,Red,Green,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,0.098,UP,31.9,0.143,+1.00,33.7,EDGE,1,Trending,Tokyo,19,Close
2026.01.05 02:00,SELL,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.339,FL,31.9,0.143,+1.00,38.6,EDGE,1,Trending,Tokyo,28,Close
2026.01.05 03:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,0.037,DN,31.9,0.360,+1.00,29.8,EDGE,1,Trending,Tokyo,26,Close
2026.01.05 04:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.457,DN,31.9,0.360,+1.00,15.0,EDGE,1,Trending,Tokyo,16,Close
2026.01.05 05:00,SELL,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,0.290,UP,31.9,0.360,+1.00,24.3,EDGE,1,Trending,Tokyo,16,Close
2026.01.05 06:00,SELL,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.109,UP,31.9,0.360,+1.00,30.1,EDGE,1,Trending,Tokyo,29,Close
2026.01.05 07:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,0.905,DN,30.4,0.245,+1.00,24.0,EDGE,1,Trending,Tokyo,37,Close
2026.01.05 08:00,SELL,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,0.581,UP,30.4,0.245,+1.00,27.0,EDGE,1,Trending,Tokyo-London,21,Close
2026.01.05 09:00,SELL,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,0.155,FL,30.4,0.245,+1.00,31.0,EDGE,1,Trending,London,16,Close
2026.01.05 10:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,0.698,FL,30.4,0.245,+1.00,27.1,EDGE,1,Trending,London,12,Close
