Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,KILLER,MktPhase,MktRatio,Spike,SpikeScore,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points,GBPNZD_Rule
2025.12.31 20:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.783,Normal,0.993,FL,0.0,0.000,+0.00,-22.6,EDGE,2,?,New York,0,Run
2025.12.31 21:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,0.860,FL,25.0,0.004,+0.00,-18.6,EDGE,2,Trending,New York,12,Run
2026.01.02 01:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,0.933,FL,25.0,0.004,+0.00,-13.6,EDGE,2,Trending,Tokyo,62,Run
2026.01.02 02:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,0.610,FL,25.0,0.004,+0.00,-15.1,EDGE,2,Trending,Tokyo,17,Run
2026.01.02 03:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,0.780,FL,22.2,0.076,-2.00,-15.5,EDGE,2,Trending,Tokyo,18,Run
2026.01.02 04:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,0.992,UP,22.2,0.076,-2.00,-17.6,EDGE,2,Trending,Tokyo,18,Run
2026.01.02 05:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,0.945,DN,22.2,0.076,-2.00,-7.8,EDGE,2,Trending,Tokyo,15,Run
2026.01.02 06:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,0.474,UP,22.2,0.076,-2.00,-10.5,EDGE,2,Trending,Tokyo,15,Run
2026.01.02 07:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,1.175,FL,19.7,0.162,+0.00,-7.5,EDGE,2,Trending,Tokyo,16,Run
2026.01.02 08:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,1.261,UP,19.7,0.162,+0.00,-14.1,EDGE,2,Trending,Tokyo-London,20,Run
2026.01.02 09:00,BUY,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,1.619,UP,19.7,0.162,+0.00,-22.1,EDGE,2,Trending,London,17,Run
2026.01.02 10:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.718,Normal,1.144,FL,19.7,0.162,+0.00,-16.3,EDGE,2,Trending,London,18,Run
2026.01.02 11:00,BUY,Red,Green,Yellow,Red,Yellow,OK,Green,Range,0.718,Normal,1.647,UP,19.4,0.061,-6.00,-28.2,EDGE,2,Trending,London,16,Run
2026.01.02 12:00,BUY,Yellow,Green,Yellow,Red,Green,OK,Green,Range,0.718,Spike,1.615,DN,19.4,0.061,-7.00,-20.3,EDGE,2,Trending,London,16,Run
2026.01.02 13:00,BUY,Yellow,Green,Yellow,Red,Green,OK,Green,Range,0.718,Spike,1.561,DN,19.4,0.061,-7.00,-7.3,EDGE,2,Trending,London-NewYork,15,Run
2026.01.02 14:00,BUY,Yellow,Green,Yellow,Red,Green,OK,Green,Range,0.718,Warning,1.488,UP,19.4,0.061,-7.00,-11.5,EDGE,2,Trending,London-NewYork,17,Run
2026.01.02 15:00,BUY,Red,Green,Yellow,Red,Yellow,OK,Green,Range,0.718,Warning,1.441,UP,19.8,0.038,-7.00,-29.5,EDGE,2,Trending,London-NewYork,15,Run
2026.01.02 16:00,BUY,Yellow,Green,Yellow,Red,Green,OK,Green,Range,0.718,Normal,0.877,DN,19.8,0.038,-7.00,-26.6,EDGE,2,Trending,London-NewYork,16,Run
2026.01.02 17:00,BUY,Red,Green,Yellow,Red,Yellow,OK,Green,Range,0.718,Warning,1.421,UP,19.8,0.038,-7.00,-33.9,EDGE,2,Trending,New York,15,Run
2026.01.02 18:00,BUY,Yellow,Green,Yellow,Red,Green,OK,Green,Range,0.718,Warning,1.192,DN,19.8,0.038,-7.00,-27.0,EDGE,2,Trending,New York,16,Run
2026.01.02 19:00,BUY,Yellow,Green,Yellow,Red,Yellow,OK,Green,Range,0.718,Warning,1.274,DN,22.2,0.066,-7.00,-16.8,EDGE,2,Trending,New York,15,Run
2026.01.02 20:00,BUY,Yellow,Green,Yellow,Red,Yellow,OK,Green,Range,0.718,Normal,0.808,FL,22.2,0.066,-7.00,-19.5,EDGE,2,Trending,New York,15,Run
2026.01.02 21:00,BUY,Yellow,Green,Yellow,Red,Yellow,OK,Green,Range,0.718,Warning,1.112,FL,22.2,0.066,-7.00,-17.7,EDGE,2,Trending,New York,19,Run
2026.01.02 22:00,BUY,Red,Green,Yellow,Red,Yellow,OK,Green,Range,0.718,Spike,1.569,UP,22.2,0.066,-7.00,-28.3,EDGE,2,Trending,Off-Hours,18,Stop
2026.01.02 23:00,BUY,Red,Yellow,Yellow,Yellow,Yellow,OK,Green,Range,0.633,Warning,1.432,UP,24.2,0.235,-4.00,-20.8,EDGE,2,Trending,Off-Hours,90,Stop
2026.01.05 00:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,1.366,DN,24.2,0.235,+0.00,-40.4,EDGE,1,Trending,Tokyo,90,Stop
2026.01.05 01:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,1.692,DN,24.2,0.235,+0.00,-17.7,EDGE,2,Trending,Tokyo,96,Stop
2026.01.05 02:00,BUY,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,1.151,UP,24.2,0.235,+0.00,-25.3,EDGE,2,Trending,Tokyo,17,Stop
2026.01.05 03:00,BUY,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,0.781,UP,27.2,0.331,+0.00,-27.2,EDGE,2,Trending,Tokyo,19,Stop
2026.01.05 04:00,BUY,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,1.078,UP,27.2,0.331,+0.00,-32.0,EDGE,2,Trending,Tokyo,17,Stop
2026.01.05 05:00,BUY,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,0.787,UP,27.2,0.331,+0.00,-30.5,EDGE,2,Trending,Tokyo,15,Stop
2026.01.05 06:00,BUY,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,1.159,UP,27.2,0.331,+0.00,-32.7,EDGE,2,Trending,Tokyo,15,Stop
2026.01.05 07:00,BUY,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,1.247,UP,30.4,0.303,-2.00,-29.3,EDGE,2,Trending,Tokyo,18,Stop
2026.01.05 08:00,BUY,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,1.028,UP,30.4,0.303,-2.00,-30.3,EDGE,2,Trending,Tokyo-London,19,Stop
2026.01.05 09:00,BUY,Green,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,1.473,DN,30.4,0.303,-2.00,-19.5,EDGE,2,Trending,London,18,Stop
2026.01.05 10:00,BUY,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.633,Normal,1.180,UP,30.4,0.303,-2.00,-27.4,EDGE,2,Trending,London,15,Stop
2026.01.05 11:00,BUY,Red,Red,Red,Yellow,Orange,OK,Green,Range,0.633,Warning,2.192,UP,34.5,0.440,+0.00,-47.1,BREAK,1,Trending,London,15,Stop
2026.01.05 12:00,BUY,Red,Red,Red,Yellow,Orange,OK,Green,Range,0.633,Normal,1.741,UP,34.5,0.440,+0.00,-56.1,BREAK,1,Trending,London,16,Stop
2026.01.05 13:00,BUY,Red,Red,Red,Yellow,Orange,OK,Green,Range,0.633,Normal,1.637,FL,34.5,0.440,+0.00,-58.7,BREAK,1,Trending,London-NewYork,16,Stop
2026.01.05 14:00,BUY,Red,Red,Red,Yellow,Orange,OK,Green,Range,0.633,Normal,1.511,UP,34.5,0.440,+0.00,-64.7,BREAK,1,Trending,London-NewYork,15,Stop
2026.01.05 15:00,BUY,Green,Red,Red,Yellow,Orange,OK,Green,Range,0.633,Normal,1.679,DN,39.7,0.506,+0.00,-54.5,BREAK,1,Trending,London-NewYork,18,Stop
2026.01.05 16:00,BUY,Red,Red,Red,Yellow,Orange,OK,Green,Range,0.633,Normal,1.341,UP,39.7,0.506,-2.00,-60.7,BREAK,1,Trending,London-NewYork,15,Stop
2026.01.05 17:00,BUY,Yellow,Red,Red,Yellow,Orange,OK,Green,Range,0.633,Normal,1.198,FL,39.7,0.506,-2.00,-64.6,BREAK,1,Trending,New York,44,Stop
2026.01.05 18:00,BUY,Red,Red,Red,Yellow,Orange,OK,Green,Range,0.633,Normal,1.556,UP,39.7,0.506,-2.00,-71.5,BREAK,1,Trending,New York,16,Stop
2026.01.05 19:00,BUY,Red,Red,Red,Yellow,Orange,OK,Green,Range,0.633,Normal,1.198,UP,44.9,0.827,+0.00,-74.2,BREAK,1,Trending,New York,15,Stop
2026.01.05 20:00,BUY,Green,Red,Red,Red,Red,OK,Green,Range,0.633,Normal,1.155,DN,44.9,0.827,-7.00,-66.1,BREAK,1,Trending,New York,15,Stop
2026.01.05 21:00,BUY,Yellow,Red,Red,Red,Red,OK,Green,Range,0.633,Warning,1.260,FL,44.9,0.827,-7.00,-63.7,BREAK,1,Trending,New York,19,Stop
2026.01.05 22:00,BUY,Red,Red,Red,Red,Red,OK,Green,Range,0.633,Warning,1.280,UP,44.9,0.827,-7.00,-63.5,BREAK,1,Trending,Off-Hours,16,Stop
2026.01.05 23:00,BUY,Red,Red,Yellow,Yellow,Orange,OK,Green,Range,0.726,Normal,0.901,UP,49.5,0.818,-3.00,-65.4,EDGE,1,Trending,Off-Hours,16,Stop
