Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,KILLER,MktPhase,MktRatio,Spike,SpikeScore,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points,GBPNZD_Rule
2025.12.31 20:00,SELL,Yellow,Yellow,Red,Red,Yellow,OK,Green,Range,0.775,Normal,0.853,FL,0.0,0.000,-4.62,76.3,BREAK,1,?,New York,0,Run
2025.12.31 21:00,SELL,Red,Yellow,Yellow,Red,Orange,OK,Green,Range,0.757,Warning,1.457,UP,39.2,0.304,-6.62,51.6,EDGE,1,Trending,New York,15,Stop
2026.01.02 01:00,SELL,Yellow,Yellow,Yellow,Red,Orange,OK,Green,Range,0.757,Warning,1.092,DN,39.2,0.304,-6.62,65.9,EDGE,1,Trending,Tokyo,473,Stop
2026.01.02 02:00,SELL,Green,Yellow,Yellow,Red,Orange,OK,Green,Range,0.757,Warning,1.238,DN,39.2,0.304,-6.62,58.3,EDGE,1,Trending,Tokyo,23,Stop
2026.01.02 03:00,SELL,Yellow,Red,Yellow,Red,Orange,OK,Green,Range,0.757,Warning,1.126,FL,42.4,0.372,-7.38,53.0,EDGE,1,Trending,Tokyo,34,Stop
2026.01.02 04:00,SELL,Yellow,Red,Yellow,Red,Orange,OK,Green,Range,0.757,Normal,0.911,FL,42.4,0.372,-7.38,52.3,EDGE,1,Trending,Tokyo,20,Stop
2026.01.02 05:00,SELL,Yellow,Red,Yellow,Red,Orange,OK,Green,Range,0.757,Warning,1.348,FL,42.4,0.372,-7.38,45.6,EDGE,1,Trending,Tokyo,28,Stop
2026.01.02 06:00,SELL,Red,Red,Yellow,Red,Red,OK,Green,Range,0.757,Warning,1.276,UP,42.4,0.372,-7.38,54.5,EDGE,1,Trending,Tokyo,35,Stop
2026.01.02 07:00,SELL,Yellow,Yellow,Yellow,Red,Orange,OK,Green,Range,0.757,Warning,1.225,FL,45.3,0.321,-9.62,48.1,EDGE,1,Trending,Tokyo,22,Stop
2026.01.02 08:00,SELL,Red,Yellow,Yellow,Red,Red,OK,Green,Range,0.757,Warning,1.179,UP,45.3,0.321,-9.62,50.9,EDGE,1,Trending,Tokyo-London,35,Stop
2026.01.02 09:00,SELL,Green,Yellow,Yellow,Red,Yellow,OK,Green,Range,0.757,Warning,1.377,DN,45.3,0.321,-9.62,28.8,EDGE,1,Trending,London,18,Stop
2026.01.02 10:00,SELL,Yellow,Yellow,Yellow,Red,Yellow,OK,Green,Range,0.757,Warning,1.318,DN,45.3,0.321,-9.62,9.6,EDGE,1,Trending,London,30,Stop
2026.01.02 11:00,SELL,Red,Green,Yellow,Red,Orange,OK,Green,Range,0.757,Warning,1.058,FL,41.8,0.161,-6.25,12.5,EDGE,1,Trending,London,28,Stop
2026.01.02 12:00,SELL,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Spike,1.694,DN,41.8,0.161,-1.25,4.6,EDGE,1,Trending,London,17,Stop
2026.01.02 13:00,SELL,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,1.099,DN,41.8,0.161,-1.25,4.7,EDGE,1,Trending,London-NewYork,16,Stop
2026.01.02 14:00,SELL,Red,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,1.666,UP,41.8,0.161,-1.25,12.2,EDGE,1,Trending,London-NewYork,24,Stop
2026.01.02 15:00,SELL,Red,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,1.607,UP,36.4,0.255,-1.25,31.1,EDGE,1,Trending,London-NewYork,17,Stop
2026.01.02 16:00,SELL,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.757,Normal,0.894,DN,36.4,0.255,+0.00,19.3,EDGE,1,Trending,London-NewYork,19,Stop
2026.01.02 17:00,SELL,Red,Green,Yellow,Yellow,Orange,OK,Green,Range,0.757,Warning,2.019,UP,36.4,0.255,+0.00,53.6,EDGE,1,Trending,New York,22,Stop
2026.01.02 18:00,SELL,Green,Green,Yellow,Yellow,Orange,OK,Green,Range,0.757,Normal,0.943,DN,36.4,0.255,+0.00,46.2,EDGE,1,Trending,New York,12,Stop
2026.01.02 19:00,SELL,Yellow,Green,Yellow,Green,Green,OK,Green,Range,0.757,Normal,1.388,DN,34.0,0.187,+3.00,26.4,EDGE,1,Trending,New York,21,Stop
2026.01.02 20:00,SELL,Yellow,Green,Yellow,Green,Green,OK,Green,Range,0.757,Normal,0.704,FL,34.0,0.187,+3.00,29.0,EDGE,1,Trending,New York,30,Stop
2026.01.02 21:00,SELL,Yellow,Green,Yellow,Green,Green,OK,Green,Range,0.757,Normal,1.331,DN,34.0,0.187,+3.00,21.6,EDGE,1,Trending,New York,36,Stop
2026.01.02 22:00,SELL,Yellow,Green,Yellow,Green,Green,OK,Green,Range,0.757,Normal,0.701,FL,34.0,0.187,+3.00,22.5,EDGE,1,Trending,Off-Hours,31,Stop
2026.01.02 23:00,SELL,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.903,FL,31.9,0.143,+1.00,34.5,EDGE,1,Trending,Off-Hours,166,Stop
2026.01.05 01:00,SELL,Red,Green,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.163,UP,31.9,0.143,+1.00,33.7,EDGE,1,Trending,Tokyo,299,Stop
2026.01.05 02:00,SELL,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.551,FL,31.9,0.143,+1.00,38.6,EDGE,1,Trending,Tokyo,23,Stop
2026.01.05 03:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.001,DN,31.9,0.360,+1.00,29.8,EDGE,1,Trending,Tokyo,25,Stop
2026.01.05 04:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.268,DN,31.9,0.360,+1.00,15.0,EDGE,1,Trending,Tokyo,29,Stop
2026.01.05 05:00,SELL,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.308,UP,31.9,0.360,+1.00,24.3,EDGE,1,Trending,Tokyo,21,Stop
2026.01.05 06:00,SELL,Red,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,1.143,UP,31.9,0.360,+1.00,30.1,EDGE,1,Trending,Tokyo,27,Stop
2026.01.05 07:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.772,Normal,0.938,DN,30.4,0.245,+1.00,24.0,EDGE,1,Trending,Tokyo,30,Stop
