Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,KILLER,MktPhase,MktRatio,Spike,SpikeScore,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points,AUDCAD_l_Rule
2025.12.31 20:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.619,Normal,0.661,FL,0.0,0.000,+1.00,-1.4,EDGE,0,?,New York,0,Run
2025.12.31 21:00,BUY,Yellow,Green,Yellow,Yellow,Green,OK,Green,Range,0.645,Normal,0.696,FL,27.8,0.106,+1.00,-7.8,EDGE,0,Trending,New York,10,Run
2026.01.02 01:00,BUY,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.645,Normal,1.404,DN,27.8,0.106,+1.00,18.2,OK,0,Trending,Tokyo,74,Run
2026.01.02 02:00,BUY,Red,Green,Green,Yellow,Green,OK,Green,Range,0.645,Normal,1.186,UP,27.8,0.106,+1.00,29.0,OK,0,Trending,Tokyo,19,Run
2026.01.02 03:00,BUY,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.645,Normal,1.475,UP,24.6,0.199,+1.00,39.4,OK,0,Trending,Tokyo,14,Run
2026.01.02 04:00,BUY,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.645,Normal,1.594,UP,24.6,0.199,+1.00,42.8,OK,0,Trending,Tokyo,14,Run
2026.01.02 05:00,BUY,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.645,Normal,1.512,UP,24.6,0.199,+1.00,48.5,OK,0,Trending,Tokyo,14,Run
2026.01.02 06:00,BUY,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.645,Normal,1.472,UP,24.6,0.199,+1.00,52.2,OK,0,Trending,Tokyo,14,Run
2026.01.02 07:00,BUY,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.645,Normal,1.048,DN,23.7,0.232,+1.00,44.5,OK,0,Trending,Tokyo,15,Run
2026.01.02 08:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,0.954,FL,23.7,0.232,+5.50,39.2,OK,0,Trending,Tokyo-London,19,Run
2026.01.02 09:00,BUY,Red,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.562,DN,23.7,0.232,+5.50,28.0,OK,0,Trending,London,16,Run
2026.01.02 10:00,BUY,Green,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.449,UP,23.7,0.232,+5.50,56.3,OK,0,Trending,London,15,Run
2026.01.02 11:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,0.941,FL,23.9,0.204,+5.50,51.9,OK,0,Trending,London,12,Run
2026.01.02 12:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.182,FL,23.9,0.204,+8.50,48.3,OK,0,Trending,London,13,Run
2026.01.02 13:00,BUY,Red,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.499,DN,23.9,0.204,+8.50,36.5,OK,0,Trending,London-NewYork,11,Run
2026.01.02 14:00,BUY,Green,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.281,UP,23.9,0.204,+8.50,46.9,OK,0,Trending,London-NewYork,11,Run
2026.01.02 15:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,0.869,FL,24.2,0.014,+8.50,42.4,OK,0,Trending,London-NewYork,11,Run
2026.01.02 16:00,BUY,Green,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.437,UP,24.2,0.014,+8.50,53.8,OK,0,Trending,London-NewYork,13,Run
2026.01.02 17:00,BUY,Red,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.952,DN,24.2,0.014,+8.50,19.3,OK,0,Trending,New York,11,Run
2026.01.02 18:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,0.714,UP,24.2,0.014,+8.50,25.9,OK,0,Trending,New York,9,Run
2026.01.02 19:00,BUY,Green,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.268,UP,25.2,0.171,+4.50,32.6,OK,0,Trending,New York,13,Run
2026.01.02 20:00,BUY,Red,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.267,DN,25.2,0.171,+4.50,25.2,OK,0,Trending,New York,13,Run
2026.01.02 21:00,BUY,Green,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.139,UP,25.2,0.171,+4.50,33.4,OK,0,Trending,New York,11,Run
2026.01.02 22:00,BUY,Green,Yellow,Green,Green,Green,OK,Green,Range,0.645,Normal,1.737,UP,25.2,0.171,+4.50,45.4,OK,0,Trending,Off-Hours,15,Run
2026.01.02 23:00,BUY,Red,Yellow,Green,Yellow,Green,OK,Green,Range,0.669,Normal,1.394,DN,26.1,0.222,+0.50,27.0,OK,0,Trending,Off-Hours,114,Run
2026.01.05 00:00,BUY,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.669,Normal,1.538,DN,26.1,0.222,+0.50,25.0,OK,0,Trending,Tokyo,120,Run
2026.01.05 01:00,BUY,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.669,Normal,1.672,UP,26.1,0.222,+0.50,32.5,OK,0,Trending,Tokyo,115,Run
2026.01.05 02:00,BUY,Red,Yellow,Green,Yellow,Green,OK,Green,Range,0.669,Normal,1.355,DN,26.1,0.222,+0.50,18.7,OK,0,Trending,Tokyo,11,Run
2026.01.05 03:00,BUY,Yellow,Yellow,Green,Yellow,Yellow,OK,Green,Range,0.669,Normal,1.200,UP,24.7,0.168,-4.00,26.9,OK,0,Trending,Tokyo,10,Run
2026.01.05 04:00,BUY,Yellow,Yellow,Green,Yellow,Yellow,OK,Green,Range,0.669,Normal,1.427,UP,24.7,0.168,-4.00,35.0,OK,0,Trending,Tokyo,11,Run
2026.01.05 05:00,BUY,Red,Yellow,Green,Yellow,Yellow,OK,Green,Range,0.669,Normal,1.153,DN,24.7,0.168,-4.00,26.0,OK,0,Trending,Tokyo,14,Run
2026.01.05 06:00,BUY,Yellow,Yellow,Green,Yellow,Yellow,OK,Green,Range,0.669,Normal,1.086,FL,24.7,0.168,-4.00,29.0,OK,0,Trending,Tokyo,11,Run
2026.01.05 07:00,BUY,Green,Green,Green,Yellow,Yellow,OK,Green,Range,0.669,Normal,1.706,UP,23.5,0.334,-4.00,36.7,OK,0,Trending,Tokyo,16,Run
2026.01.05 08:00,BUY,Green,Green,Green,Yellow,Green,OK,Green,Range,0.669,Normal,1.542,UP,23.5,0.334,-2.00,44.9,OK,0,Trending,Tokyo-London,12,Run
2026.01.05 09:00,BUY,Green,Green,Green,Yellow,Green,OK,Green,Range,0.669,Normal,1.303,FL,23.5,0.334,-2.00,45.6,OK,0,Trending,London,14,Run
2026.01.05 10:00,BUY,Green,Green,Green,Yellow,Green,OK,Green,Range,0.669,Normal,1.500,FL,23.5,0.334,-2.00,48.4,OK,1,Trending,London,15,Run
2026.01.05 11:00,BUY,Red,Green,Green,Yellow,Green,OK,Green,Range,0.669,Normal,1.366,DN,25.7,0.386,-2.00,39.5,OK,0,Trending,London,8,Run
2026.01.05 12:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,1.195,UP,25.7,0.386,+6.50,46.2,OK,1,Trending,London,13,Run
2026.01.05 13:00,BUY,Yellow,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,1.263,FL,25.7,0.386,+6.50,43.1,OK,1,Trending,London-NewYork,11,Run
2026.01.05 14:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,1.434,UP,25.7,0.386,+6.50,45.4,OK,1,Trending,London-NewYork,8,Run
2026.01.05 15:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,2.130,UP,28.7,0.529,+6.50,56.4,OK,1,Trending,London-NewYork,9,Run
2026.01.05 16:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,1.344,UP,28.7,0.529,+6.50,62.3,OK,1,Trending,London-NewYork,14,Run
2026.01.05 17:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,1.582,UP,28.7,0.529,+6.50,60.7,OK,1,Trending,New York,32,Run
2026.01.05 18:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,1.883,UP,28.7,0.529,+6.50,82.1,OK,1,Trending,New York,9,Run
2026.01.05 19:00,BUY,Yellow,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,1.139,DN,33.5,0.750,+6.50,71.5,OK,1,Trending,New York,13,Run
2026.01.05 20:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,1.109,UP,33.5,0.750,+8.50,70.3,OK,1,Trending,New York,10,Run
2026.01.05 21:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,1.348,UP,33.5,0.750,+8.50,67.9,OK,1,Trending,New York,15,Run
2026.01.05 22:00,BUY,Green,Green,Green,Green,Green,OK,Green,Range,0.669,Normal,1.399,UP,33.5,0.750,+8.50,68.6,OK,1,Trending,Off-Hours,8,Run
