Open Time	Status	Magic	Symbol	Type	Timeframe	Pattern (Size)	Higher Trend	Higher RSI	Spread	Spread vs Base	News Time	Vol Steps (Lot)	Vol Steps ($)	Min Requied Capital ($)	Entry Prices	RiskFree Prices	Target Prices	Action Prices	Liquidity Price	Max Step	Max Virtual Step	Profit	Close Time
1/9/2025 2:22	Close	10001	AUDCAD_l	Long	m1	Major(131)	Downtrend	Neutral (37.8)	Normal (Now: 10 vs Avg: 8 points)	Normal (10 vs 19 points)	 Calendar Unavailable 	0.03|0.06|0.09|0.12|0.15	3.00|6.00|9.00|12.00|15.00	0	0.89265|0.89246|0.89208|0.89151|0.89075	0.89275|0.89262|0.89240|0.89209|0.89167	0.89313|0.89281|0.89259|0.89228|0.89186	0.89313|0.89281|0.89259|0.89228|0.89186	0.88961	5	6	12.87	1/9/2025 13:36
1/9/2025 10:39	Close	10002	AUDCAD_l	Short	m1	Super Minor(11)	Downtrend	Neutral (67.5)	Normal (Now: 10 vs Avg: 21 points)	Normal (10 vs 33 points)	 Calendar Unavailable 	0.03|0.06|0.09|0.12|0.15	3.00|6.00|9.00|12.00|15.00	0	0.89049|0.89082|0.89148|0.89247|0.89379	0.89039|0.89061|0.89100|0.89155|0.89226	0.88973|0.89028|0.89067|0.89122|0.89193	0.88973|0.89028|0.89067|0.89122|0.89193	0.89577	4	4	13.2	1/10/2025 2:32
1/10/2025 6:28	Close	10003	AUDCAD_l	Long	m1	Super Minor(11)	Downtrend	Neutral (30.6)	Normal (Now: 12 vs Avg: 10 points)	Normal (12 vs 16 points)	 Calendar Unavailable 	0.03|0.06|0.09|0.12|0.15	3.00|6.00|9.00|12.00|15.00	0	0.89227|0.89211|0.89179|0.89131|0.89067	0.89239|0.89228|0.89210|0.89183|0.89148	0.89271|0.89244|0.89226|0.89199|0.89164	0.89271|0.89244|0.89226|0.89199|0.89164	0.88971	2	2	2.22	1/10/2025 6:54
1/10/2025 7:08	Close	10004	AUDCAD_l	Short	m1	Super Minor(14)	Uptrend	Neutral (64.3)	Normal (Now: 11 vs Avg: 9 points)	Normal (11 vs 20 points)	 Calendar Unavailable 	0.03|0.06|0.09|0.12|0.15	3.00|6.00|9.00|12.00|15.00	0	0.89263|0.89283|0.89323|0.89383|0.89463	0.89252|0.89265|0.89289|0.89322|0.89365	0.89212|0.89245|0.89269|0.89302|0.89345	0.89212|0.89245|0.89269|0.89302|0.89345	0.89583	2	2	2.88	1/10/2025 8:16
1/10/2025 8:12	Close	10005	AUDCAD_l	Long	m1	Minor(35)	Downtrend	Neutral (39.8)	Normal (Now: 12 vs Avg: 10 points)	Normal (12 vs 20 points)	 Calendar Unavailable 	0.03|0.06|0.09|0.12|0.15	3.00|6.00|9.00|12.00|15.00	0	0.89243|0.89223|0.89183|0.89123|0.89043	0.89255|0.89242|0.89218|0.89185|0.89142	0.89295|0.89262|0.89238|0.89205|0.89162	0.89295|0.89262|0.89238|0.89205|0.89162	0.88923	2	2	2.64	1/10/2025 9:13
1/10/2025 11:59	Close	10006	AUDCAD_l	Long	m1	Major(108)	Downtrend	Neutral (30.4)	Normal (Now: 10 vs Avg: 14 points)	Normal (10 vs 23 points)	 Calendar Unavailable 	0.03|0.06|0.09|0.12|0.15	3.00|6.00|9.00|12.00|15.00	0	0.89091|0.89068|0.89022|0.88953|0.88861	0.89101|0.89086|0.89059|0.89021|0.88971	0.89147|0.89109|0.89082|0.89044|0.88994	0.89147|0.89109|0.89082|0.89044|0.88994	0.88723	2	2	2.73	1/10/2025 12:35
1/10/2025 13:26	Close	10007	AUDCAD_l	Short	m1	Super Minor(19)	Uptrend	Neutral (67.0)	Normal (Now: 11 vs Avg: 12 points)	Normal (11 vs 24 points)	 Calendar Unavailable 	0.03|0.06|0.09|0.12|0.15	3.00|6.00|9.00|12.00|15.00	0	0.89156|0.89180|0.89228|0.89300|0.89396	0.89145|0.89161|0.89189|0.89229|0.89281	0.89097|0.89137|0.89165|0.89205|0.89257	0.89097|0.89137|0.89165|0.89205|0.89257	0.8954	2	2	3.24	1/10/2025 15:30
1/10/2025 17:34	Close	10008	AUDCAD_l	Short	m1	Minor(49)	Uptrend	Neutral (67.9)	Normal (Now: 9 vs Avg: 30 points)	Normal (9 vs 48 points)	 Calendar Unavailable 	0.03|0.06|0.09|0.12|0.15	3.00|6.00|9.00|12.00|15.00	0	0.88885|0.88933|0.89029|0.89173|0.89365	0.88876|0.88908|0.88964|0.89044|0.89148	0.88780|0.88860|0.88916|0.88996|0.89100	0.88780|0.88860|0.88916|0.88996|0.89100	0.89653	1	1	3.27	1/10/2025 17:43
1/10/2025 18:22	Close	10009	AUDCAD_l	Long	m1	Super Minor(11)	Downtrend	Neutral (39.5)	Normal (Now: 11 vs Avg: 25 points)	Normal (11 vs 43 points)	 Calendar Unavailable 	0.03|0.06|0.09|0.12|0.15	3.00|6.00|9.00|12.00|15.00	0	0.88692|0.88649|0.88563|0.88434|0.88262	0.88703|0.88674|0.88624|0.88553|0.88459	0.88789|0.88717|0.88667|0.88596|0.88502	0.88789|0.88717|0.88667|0.88596|0.88502	0.88004	1	1	2.64	1/10/2025 20:49
1/10/2025 20:43	Close	10010	AUDCAD_l	Short	m1	Mid Major(66)	Uptrend	Neutral (62.3)	Normal (Now: 11 vs Avg: 13 points)	Normal (11 vs 23 points)	 Calendar Unavailable 	0.03|0.06|0.09|0.12|0.15	3.00|6.00|9.00|12.00|15.00	0	0.88768|0.88791|0.88837|0.88906|0.88998	0.88757|0.88772|0.88799|0.88838|0.88887	0.88711|0.88749|0.88776|0.88815|0.88864	0.88711|0.88749|0.88776|0.88815|0.88864	0.89136	2	2	3.21	1/10/2025 21:20
