Open Time;Status;Magic;Symbol;Type;Timeframe;Pattern (Size);Higher Trend;Higher RSI;Spread;Spread vs Base;News Time;Vol Steps (Lot);Vol Steps ($);Min Requied Capital ($);Entry Prices;RiskFree Prices;Target Prices;Action Prices;Liquidity Price;Max Step;Max Virtual Step;Profit;Close Time
2025.04.10 02:40;Close;10001;AUDCAD_l;Long;m1;Super Minor(29);Downtrend;Neutral (35.5);Normal (Now: 9 vs Avg: 26 points);Normal (9 vs 46 points); Calendar Unavailable ;0.03|0.06|0.09|0.12|0.15;3.00|6.00|9.00|12.00|15.00;0.00;0.86516|0.86470|0.86378|0.86240|0.86056;0.86525|0.86494|0.86441|0.86364|0.86264;0.86617|0.86540|0.86487|0.86410|0.86310;0.86617|0.86540|0.86487|0.86410|0.86310;0.85780;1;1;2.79;2025.04.10 03:05
2025.04.10 04:17;Close;10002;AUDCAD_l;Long;m1;Minor(34);Downtrend;Neutral (33.7);Normal (Now: 7 vs Avg: 41 points);Normal (7 vs 90 points); Calendar Unavailable ;0.03|0.06|0.09|0.12|0.15;3.00|6.00|9.00|12.00|15.00;0.00;0.86295|0.86205|0.86025|0.85755|0.85395;0.86302|0.86242|0.86137|0.85987|0.85792;0.86482|0.86332|0.86227|0.86077|0.85882;0.86482|0.86332|0.86227|0.86077|0.85882;0.84855;1;1;5.43;2025.04.10 05:10
2025.04.10 05:47;Close;10003;AUDCAD_l;Short;m1;Super Minor(14);Uptrend;Neutral (63.2);Normal (Now: 8 vs Avg: 29 points);Normal (8 vs 42 points); Calendar Unavailable ;0.03|0.06|0.09|0.12|0.15;3.00|6.00|9.00|12.00|15.00;0.00;0.86673|0.86715|0.86799|0.86925|0.87093;0.86665|0.86693|0.86742|0.86812|0.86903;0.86581|0.86651|0.86700|0.86770|0.86861;0.86581|0.86651|0.86700|0.86770|0.86861;0.87345;5;5;22.86;2025.04.10 10:21
2025.04.10 10:37;Close;10004;AUDCAD_l;Long;m1;Super Minor(10);Downtrend;Oversold (25.6);Normal (Now: 5 vs Avg: 45 points);Normal (5 vs 116 points); Calendar Unavailable ;0.03|0.06|0.09|0.12|0.15;3.00|6.00|9.00|12.00|15.00;0.00;0.86545|0.86429|0.86197|0.85849|0.85385;0.86550|0.86473|0.86337|0.86144|0.85893;0.86782|0.86589|0.86453|0.86260|0.86009;0.86782|0.86589|0.86453|0.86260|0.86009;0.84689;1;1;7.02;2025.04.10 12:26
2025.04.10 12:24;Close;10005;AUDCAD_l;Short;m1;Super Minor(30);Downtrend;Neutral (64.2);Normal (Now: 9 vs Avg: 38 points);Normal (9 vs 62 points); Calendar Unavailable ;0.03|0.06|0.09|0.12|0.15;3.00|6.00|9.00|12.00|15.00;0.00;0.86705|0.86767|0.86891|0.87077|0.87325;0.86696|0.86737|0.86810|0.86913|0.87047;0.86572|0.86675|0.86748|0.86851|0.86985;0.86572|0.86675|0.86748|0.86851|0.86985;0.87697;2;2;6.48;2025.04.10 12:34
2025.04.10 14:56;Close;10006;AUDCAD_l;Short;m1;Super Minor(13);Uptrend;Neutral (67.1);Normal (Now: 8 vs Avg: 26 points);Normal (8 vs 51 points); Calendar Unavailable ;0.03|0.06|0.09|0.12|0.15;3.00|6.00|9.00|12.00|15.00;0.00;0.87053|0.87104|0.87206|0.87359|0.87563;0.87045|0.87079|0.87139|0.87224|0.87334;0.86943|0.87028|0.87088|0.87173|0.87283;0.86943|0.87028|0.87088|0.87173|0.87283;0.87869;2;2;5.25;2025.04.10 15:29
2025.04.10 15:32;Close;10007;AUDCAD_l;Short;m1;Major(121);Uptrend;Neutral (63.2);Normal (Now: 9 vs Avg: 35 points);Normal (9 vs 108 points); Calendar Unavailable ;0.03|0.06|0.09|0.12|0.15;3.00|6.00|9.00|12.00|15.00;0.00;0.87215|0.87323|0.87539|0.87863|0.88295;0.87206|0.87278|0.87404|0.87584|0.87818;0.86990|0.87170|0.87296|0.87476|0.87710;0.86990|0.87170|0.87296|0.87476|0.87710;0.88943;1;1;7.02;2025.04.10 15:40
2025.04.10 19:14;Close;10008;AUDCAD_l;Long;m1;Super Minor(16);Downtrend;Oversold (29.9);Normal (Now: 8 vs Avg: 49 points);Normal (8 vs 103 points); Calendar Unavailable ;0.03|0.06|0.09|0.12|0.15;3.00|6.00|9.00|12.00|15.00;0.00;0.86605|0.86502|0.86296|0.85987|0.85575;0.86613|0.86544|0.86424|0.86253|0.86029;0.86819|0.86647|0.86527|0.86356|0.86132;0.86819|0.86647|0.86527|0.86356|0.86132;0.84957;2;2;9.81;2025.04.10 19:37
2025.04.10 20:22;Close;10009;AUDCAD_l;Long;m1;Super Minor(10);Downtrend;Neutral (40.3);Normal (Now: 6 vs Avg: 51 points);Normal (6 vs 84 points); Calendar Unavailable ;0.03|0.06|0.09|0.12|0.15;3.00|6.00|9.00|12.00|15.00;0.00;0.86619|0.86535|0.86367|0.86115|0.85779;0.86625|0.86569|0.86471|0.86331|0.86149;0.86793|0.86653|0.86555|0.86415|0.86233;0.86793|0.86653|0.86555|0.86415|0.86233;0.85275;1;1;5.10;2025.04.10 20:31
2025.04.10 21:08;Close;10010;AUDCAD_l;Short;m1;Super Minor(22);Uptrend;Neutral (68.7);Normal (Now: 10 vs Avg: 43 points);Normal (10 vs 88 points); Calendar Unavailable ;0.03|0.06|0.09|0.12|0.15;3.00|6.00|9.00|12.00|15.00;0.00;0.87019|0.87107|0.87283|0.87547|0.87899;0.87009|0.87068|0.87170|0.87317|0.87508;0.86833|0.86980|0.87082|0.87229|0.87420;0.86833|0.86980|0.87082|0.87229|0.87420;0.88427;2;2;9.12;2025.04.10 22:24
