Open Time;Status;Magic;Symbol;Type;Timeframe;Pattern (Size);Higher Trend;Higher RSI;Spread vs Base;Top News;Vol Steps (Lot);Vol Steps ($);Min Requied Capital ($);Entry Prices;RiskFree Prices;Target Prices;Action Prices;Liquidity Price;Max Step;Max Virtual Step;Profit;Close Time
2026.01.22 03:19;Close;10001;AUDCAD_l;Short;m1;Minor(37);Uptrend;Overbought (81.9);Normal (16 vs 46 points);No News;2.00|4.00|6.00|8.00|10.00;135.87|271.73|407.60|543.46|679.33;61.75;0.93930|0.93976|0.94068|0.94206|0.94390;0.93914|0.93945|0.93998|0.94075|0.94175;0.93822|0.93899|0.93952|0.94029|0.94129;0.93822|0.93899|0.93952|0.94029|0.94129;0.94666;5;8;-27011.29;2026.01.28 02:33
2026.01.22 08:18;Close;10002;AUDCAD_l;Long;m1;Mid Major(59);Uptrend;Neutral (59.0);Normal (15 vs 23 points);No News;2.00|4.00|6.00|8.00|10.00;136.01|272.03|408.04|544.06|680.07;35.99;0.93973|0.93950|0.93904|0.93835|0.93743;0.93988|0.93973|0.93946|0.93908|0.93858;0.94034|0.93996|0.93969|0.93931|0.93881;0.94080|0.94019|0.93992|0.93954|0.93904;0.93605;1;1;133.13;2026.01.22 09:05
2026.01.22 10:40;Close;10003;AUDCAD_l;Long;m1;Minor(42);Uptrend;Neutral (51.6);Normal (11 vs 26 points);No News;2.00|4.00|6.00|8.00|10.00;135.98|271.96|407.94|543.92|679.90;39.34;0.93987|0.93961|0.93909|0.93831|0.93727;0.93998|0.93981|0.93950|0.93907|0.93851;0.94050|0.94007|0.93976|0.93933|0.93877;0.94102|0.94033|0.94002|0.93959|0.93903;0.93571;1;1;152.11;2026.01.22 16:01
2026.01.23 05:15;Close;10004;AUDCAD_l;Long;m1;Super Minor(28);Uptrend;Neutral (46.7);Normal (10 vs 22 points);No News;2.00|4.00|6.00|8.00|10.00;136.78|273.55|410.33|547.10|683.88;34.99;0.94293|0.94271|0.94227|0.94161|0.94073;0.94303|0.94288|0.94263|0.94226|0.94178;0.94347|0.94310|0.94285|0.94248|0.94200;0.94391|0.94332|0.94307|0.94270|0.94222;0.93941;1;1;127.59;2026.01.23 06:00
2026.01.23 09:36;Close;10005;AUDCAD_l;Long;m1;Super Minor(27);Uptrend;Neutral (53.8);Normal (13 vs 28 points);No News;2.00|4.00|6.00|8.00|10.00;136.91|273.83|410.74|547.66|684.57;41.73;0.94411|0.94383|0.94327|0.94243|0.94131;0.94424|0.94405|0.94373|0.94326|0.94265;0.94480|0.94433|0.94401|0.94354|0.94293;0.94536|0.94461|0.94429|0.94382|0.94321;0.93963;3;3;584.74;2026.01.23 11:09
2026.01.23 12:10;Close;10006;AUDCAD_l;Long;m1;Major(121);Uptrend;Neutral (34.4);Normal (13 vs 26 points);No News;2.00|4.00|6.00|8.00|10.00;136.71|273.42|410.13|546.84|683.55;39.46;0.94271|0.94245|0.94193|0.94115|0.94011;0.94284|0.94267|0.94236|0.94193|0.94137;0.94336|0.94293|0.94262|0.94219|0.94163;0.94388|0.94319|0.94288|0.94245|0.94189;0.93855;1;1;150.90;2026.01.23 13:24
2026.01.26 05:33;Close;10007;AUDCAD_l;Long;m1;Minor(39);Uptrend;Neutral (48.2);Normal (14 vs 30 points);No News;2.00|4.00|6.00|8.00|10.00;138.31|276.63|414.94|553.26|691.57;44.36;0.94622|0.94592|0.94532|0.94442|0.94322;0.94636|0.94616|0.94581|0.94531|0.94466;0.94696|0.94646|0.94611|0.94561|0.94496;0.94756|0.94676|0.94641|0.94591|0.94526;0.94142;2;2;306.82;2026.01.26 10:29
2026.01.26 11:58;Close;10008;AUDCAD_l;Long;m1;Minor(41);Uptrend;Neutral (51.2);Normal (11 vs 30 points);No News;2.00|4.00|6.00|8.00|10.00;138.41|276.81|415.22|553.62|692.03;44.37;0.94649|0.94619|0.94559|0.94469|0.94349;0.94660|0.94640|0.94605|0.94555|0.94490;0.94720|0.94670|0.94635|0.94585|0.94520;0.94780|0.94700|0.94665|0.94615|0.94550;0.94169;1;1;176.61;2026.01.26 15:52
2026.01.26 21:11;Close;10009;AUDCAD_l;Long;m1;Super Minor(24);Uptrend;Neutral (54.6);Normal (16 vs 24 points);No News;2.00|4.00|6.00|8.00|10.00;138.54|277.08|415.63|554.17|692.71;37.52;0.94943|0.94919|0.94871|0.94799|0.94703;0.94959|0.94943|0.94915|0.94875|0.94823;0.95007|0.94967|0.94939|0.94899|0.94847;0.95055|0.94991|0.94963|0.94923|0.94871;0.94559;4;4;930.47;2026.01.27 04:15
2026.01.27 10:45;Close;10010;AUDCAD_l;Long;m1;Super Minor(14);Uptrend;Neutral (33.8);Normal (12 vs 37 points);No News;2.00|4.00|6.00|8.00|10.00;138.09|276.18|414.26|552.35|690.44;52.11;0.94805|0.94768|0.94694|0.94583|0.94435;0.94817|0.94792|0.94749|0.94688|0.94607;0.94891|0.94829|0.94786|0.94725|0.94644;0.94965|0.94866|0.94823|0.94762|0.94681;0.94213;1;1;214.45;2026.01.27 12:30
2026.01.27 16:32;Close;10011;AUDCAD_l;Long;m1;Minor(40);Uptrend;Neutral (40.9);Normal (15 vs 29 points);No News;2.00|4.00|6.00|8.00|10.00;139.04|278.08|417.13|556.17|695.21;43.37;0.94877|0.94848|0.94790|0.94703|0.94587;0.94892|0.94873|0.94839|0.94791|0.94728;0.94950|0.94902|0.94868|0.94820|0.94757;0.95008|0.94931|0.94897|0.94849|0.94786;0.94413;3;3;626.69;2026.01.27 18:43
