Time	Open	High	Low	Close
2026.01.02 01:00:00	1.761230	1.761230	1.761230	1.761230
2026.01.02 02:00:00	1.759410	1.759410	1.759410	1.759410
2026.01.02 03:00:00	1.758330	1.758330	1.758330	1.758330
2026.01.02 04:00:00	1.757160	1.757160	1.757160	1.757160
2026.01.02 05:00:00	1.756370	1.756370	1.756370	1.756370
2026.01.02 06:00:00	1.756190	1.756190	1.756190	1.756190
2026.01.02 07:00:00	1.755030	1.755030	1.755030	1.755030
2026.01.02 08:00:00	1.755000	1.755000	1.755000	1.755000
2026.01.02 09:00:00	1.754250	1.754250	1.754250	1.754250
2026.01.02 10:00:00	1.752430	1.752430	1.752430	1.752430
2026.01.02 11:00:00	1.749890	1.749890	1.749890	1.749890
2026.01.02 12:00:00	1.749700	1.749700	1.749700	1.749700
2026.01.02 13:00:00	1.749950	1.749950	1.749950	1.749950
2026.01.02 14:00:00	1.751850	1.751850	1.751850	1.751850
2026.01.02 15:00:00	1.751870	1.751870	1.751870	1.751870
2026.01.02 16:00:00	1.752570	1.752570	1.752570	1.752570
2026.01.02 17:00:00	1.752300	1.752300	1.752300	1.752300
2026.01.02 18:00:00	1.757010	1.757010	1.757010	1.757010
2026.01.02 19:00:00	1.756310	1.756310	1.756310	1.756310
2026.01.02 20:00:00	1.754700	1.754700	1.754700	1.754700
2026.01.02 21:00:00	1.754340	1.754340	1.754340	1.754340
2026.01.02 22:00:00	1.752580	1.752580	1.752580	1.752580
2026.01.02 23:00:00	1.750160	1.750160	1.750160	1.750160
2026.01.05 00:00:00	1.752630	1.752630	1.752630	1.752630
2026.01.05 01:00:00	1.751060	1.751060	1.751060	1.751060
2026.01.05 02:00:00	1.751290	1.751290	1.751290	1.751290
2026.01.05 03:00:00	1.752620	1.752620	1.752620	1.752620
2026.01.05 04:00:00	1.751100	1.751100	1.751100	1.751100
2026.01.05 05:00:00	1.748880	1.748880	1.748880	1.748880
2026.01.05 06:00:00	1.750060	1.750060	1.750060	1.750060
2026.01.05 07:00:00	1.750920	1.750920	1.750920	1.750920
2026.01.05 08:00:00	1.750430	1.750430	1.750430	1.750430
2026.01.05 09:00:00	1.749840	1.749840	1.749840	1.749840
2026.01.05 10:00:00	1.750220	1.750220	1.750220	1.750220
2026.01.05 11:00:00	1.749880	1.749880	1.749880	1.749880
2026.01.05 12:00:00	1.749980	1.749980	1.749980	1.749980
2026.01.05 13:00:00	1.748680	1.748680	1.748680	1.748680
2026.01.05 14:00:00	1.747630	1.747630	1.747630	1.747630
2026.01.05 15:00:00	1.747510	1.747510	1.747510	1.747510
2026.01.05 16:00:00	1.748260	1.748260	1.748260	1.748260
2026.01.05 17:00:00	1.746550	1.746550	1.746550	1.746550
2026.01.05 18:00:00	1.744810	1.744810	1.744810	1.744810
2026.01.05 19:00:00	1.743950	1.743950	1.743950	1.743950
2026.01.05 20:00:00	1.745160	1.745160	1.745160	1.745160
2026.01.05 21:00:00	1.746410	1.746410	1.746410	1.746410
2026.01.05 22:00:00	1.746050	1.746050	1.746050	1.746050
2026.01.05 23:00:00	1.745810	1.745810	1.745810	1.745810
2026.01.06 00:00:00	1.745450	1.745450	1.745450	1.745450
2026.01.06 01:00:00	1.744820	1.744820	1.744820	1.744820
2026.01.06 02:00:00	1.744950	1.744950	1.744950	1.744950
2026.01.06 03:00:00	1.746110	1.746110	1.746110	1.746110
2026.01.06 04:00:00	1.745910	1.745910	1.745910	1.745910
2026.01.06 05:00:00	1.745760	1.745760	1.745760	1.745760
2026.01.06 06:00:00	1.745560	1.745560	1.745560	1.745560
2026.01.06 07:00:00	1.744770	1.744770	1.744770	1.744770
2026.01.06 08:00:00	1.743450	1.743450	1.743450	1.743450
2026.01.06 09:00:00	1.742030	1.742030	1.742030	1.742030
2026.01.06 10:00:00	1.742460	1.742460	1.742460	1.742460
2026.01.06 11:00:00	1.744330	1.744330	1.744330	1.744330
2026.01.06 12:00:00	1.743790	1.743790	1.743790	1.743790
2026.01.06 13:00:00	1.743730	1.743730	1.743730	1.743730
2026.01.06 14:00:00	1.742430	1.742430	1.742430	1.742430
2026.01.06 15:00:00	1.742000	1.742000	1.742000	1.742000
2026.01.06 16:00:00	1.740870	1.740870	1.740870	1.740870
2026.01.06 17:00:00	1.739340	1.739340	1.739340	1.739340
2026.01.06 18:00:00	1.737790	1.737790	1.737790	1.737790
2026.01.06 19:00:00	1.736430	1.736430	1.736430	1.736430
2026.01.06 20:00:00	1.737070	1.737070	1.737070	1.737070
2026.01.06 21:00:00	1.735260	1.735260	1.735260	1.735260
2026.01.06 22:00:00	1.736270	1.736270	1.736270	1.736270
2026.01.06 23:00:00	1.734220	1.734220	1.734220	1.734220
2026.01.07 00:00:00	1.734560	1.734560	1.734560	1.734560
2026.01.07 01:00:00	1.733910	1.733910	1.733910	1.733910
2026.01.07 02:00:00	1.735280	1.735280	1.735280	1.735280
2026.01.07 03:00:00	1.736050	1.736050	1.736050	1.736050
2026.01.07 04:00:00	1.733250	1.733250	1.733250	1.733250
2026.01.07 05:00:00	1.733320	1.733320	1.733320	1.733320
2026.01.07 06:00:00	1.731240	1.731240	1.731240	1.731240
2026.01.07 07:00:00	1.729430	1.729430	1.729430	1.729430
2026.01.07 08:00:00	1.731600	1.731600	1.731600	1.731600
2026.01.07 09:00:00	1.732570	1.732570	1.732570	1.732570
2026.01.07 10:00:00	1.733310	1.733310	1.733310	1.733310
2026.01.07 11:00:00	1.734050	1.734050	1.734050	1.734050
2026.01.07 12:00:00	1.734010	1.734010	1.734010	1.734010
2026.01.07 13:00:00	1.734710	1.734710	1.734710	1.734710
2026.01.07 14:00:00	1.734580	1.734580	1.734580	1.734580
2026.01.07 15:00:00	1.735880	1.735880	1.735880	1.735880
2026.01.07 16:00:00	1.734760	1.734760	1.734760	1.734760
2026.01.07 17:00:00	1.734820	1.734820	1.734820	1.734820
2026.01.07 18:00:00	1.737620	1.737620	1.737620	1.737620
2026.01.07 19:00:00	1.737600	1.737600	1.737600	1.737600
2026.01.07 20:00:00	1.736900	1.736900	1.736900	1.736900
2026.01.07 21:00:00	1.735490	1.735490	1.735490	1.735490
2026.01.07 22:00:00	1.736380	1.736380	1.736380	1.736380
2026.01.07 23:00:00	1.737550	1.737550	1.737550	1.737550
2026.01.08 00:00:00	1.736580	1.736580	1.736580	1.736580
2026.01.08 01:00:00	1.736560	1.736560	1.736560	1.736560
2026.01.08 02:00:00	1.737020	1.737020	1.737020	1.737020
2026.01.08 03:00:00	1.737410	1.737410	1.737410	1.737410
2026.01.08 04:00:00	1.736100	1.736100	1.736100	1.736100
2026.01.08 05:00:00	1.740160	1.740160	1.740160	1.740160
2026.01.08 06:00:00	1.739790	1.739790	1.739790	1.739790
2026.01.08 07:00:00	1.741630	1.741630	1.741630	1.741630
2026.01.08 08:00:00	1.742590	1.742590	1.742590	1.742590
2026.01.08 09:00:00	1.743150	1.743150	1.743150	1.743150
2026.01.08 10:00:00	1.743830	1.743830	1.743830	1.743830
2026.01.08 11:00:00	1.742790	1.742790	1.742790	1.742790
2026.01.08 12:00:00	1.744540	1.744540	1.744540	1.744540
2026.01.08 13:00:00	1.743570	1.743570	1.743570	1.743570
2026.01.08 14:00:00	1.743600	1.743600	1.743600	1.743600
