Time	Open	High	Low	Close
2026.01.02 01:00:00	2.019020	2.019020	2.019020	2.019020
2026.01.02 02:00:00	2.017340	2.017340	2.017340	2.017340
2026.01.02 03:00:00	2.016310	2.016310	2.016310	2.016310
2026.01.02 04:00:00	2.015150	2.015150	2.015150	2.015150
2026.01.02 05:00:00	2.014610	2.014610	2.014610	2.014610
2026.01.02 06:00:00	2.013280	2.013280	2.013280	2.013280
2026.01.02 07:00:00	2.012250	2.012250	2.012250	2.012250
2026.01.02 08:00:00	2.011860	2.011860	2.011860	2.011860
2026.01.02 09:00:00	2.011760	2.011760	2.011760	2.011760
2026.01.02 10:00:00	2.010630	2.010630	2.010630	2.010630
2026.01.02 11:00:00	2.007220	2.007220	2.007220	2.007220
2026.01.02 12:00:00	2.008460	2.008460	2.008460	2.008460
2026.01.02 13:00:00	2.008050	2.008050	2.008050	2.008050
2026.01.02 14:00:00	2.008740	2.008740	2.008740	2.008740
2026.01.02 15:00:00	2.009160	2.009160	2.009160	2.009160
2026.01.02 16:00:00	2.012070	2.012070	2.012070	2.012070
2026.01.02 17:00:00	2.011640	2.011640	2.011640	2.011640
2026.01.02 18:00:00	2.018050	2.018050	2.018050	2.018050
2026.01.02 19:00:00	2.016680	2.016680	2.016680	2.016680
2026.01.02 20:00:00	2.013770	2.013770	2.013770	2.013770
2026.01.02 21:00:00	2.013630	2.013630	2.013630	2.013630
2026.01.02 22:00:00	2.011420	2.011420	2.011420	2.011420
2026.01.02 23:00:00	2.009880	2.009880	2.009880	2.009880
2026.01.05 00:00:00	2.010720	2.010720	2.010720	2.010720
2026.01.05 01:00:00	2.010080	2.010080	2.010080	2.010080
2026.01.05 02:00:00	2.010470	2.010470	2.010470	2.010470
2026.01.05 03:00:00	2.012890	2.012890	2.012890	2.012890
2026.01.05 04:00:00	2.011510	2.011510	2.011510	2.011510
2026.01.05 05:00:00	2.009560	2.009560	2.009560	2.009560
2026.01.05 06:00:00	2.010960	2.010960	2.010960	2.010960
2026.01.05 07:00:00	2.012270	2.012270	2.012270	2.012270
2026.01.05 08:00:00	2.011440	2.011440	2.011440	2.011440
2026.01.05 09:00:00	2.011000	2.011000	2.011000	2.011000
2026.01.05 10:00:00	2.010300	2.010300	2.010300	2.010300
2026.01.05 11:00:00	2.010810	2.010810	2.010810	2.010810
2026.01.05 12:00:00	2.013590	2.013590	2.013590	2.013590
2026.01.05 13:00:00	2.013920	2.013920	2.013920	2.013920
2026.01.05 14:00:00	2.013590	2.013590	2.013590	2.013590
2026.01.05 15:00:00	2.014790	2.014790	2.014790	2.014790
2026.01.05 16:00:00	2.014560	2.014560	2.014560	2.014560
2026.01.05 17:00:00	2.013480	2.013480	2.013480	2.013480
2026.01.05 18:00:00	2.012840	2.012840	2.012840	2.012840
2026.01.05 19:00:00	2.013440	2.013440	2.013440	2.013440
2026.01.05 20:00:00	2.016020	2.016020	2.016020	2.016020
2026.01.05 21:00:00	2.016640	2.016640	2.016640	2.016640
2026.01.05 22:00:00	2.016400	2.016400	2.016400	2.016400
2026.01.05 23:00:00	2.016500	2.016500	2.016500	2.016500
2026.01.06 00:00:00	2.016110	2.016110	2.016110	2.016110
2026.01.06 01:00:00	2.016010	2.016010	2.016010	2.016010
2026.01.06 02:00:00	2.015680	2.015680	2.015680	2.015680
2026.01.06 03:00:00	2.017120	2.017120	2.017120	2.017120
2026.01.06 04:00:00	2.017010	2.017010	2.017010	2.017010
2026.01.06 05:00:00	2.016300	2.016300	2.016300	2.016300
2026.01.06 06:00:00	2.016910	2.016910	2.016910	2.016910
2026.01.06 07:00:00	2.015690	2.015690	2.015690	2.015690
2026.01.06 08:00:00	2.014090	2.014090	2.014090	2.014090
2026.01.06 09:00:00	2.012040	2.012040	2.012040	2.012040
2026.01.06 10:00:00	2.013020	2.013020	2.013020	2.013020
