Time	Open	High	Low	Close
2026.01.02 01:00:00	1.066800	1.066800	1.066800	1.066800
2026.01.02 02:00:00	1.067010	1.067010	1.067010	1.067010
2026.01.02 03:00:00	1.067020	1.067020	1.067020	1.067020
2026.01.02 04:00:00	1.066960	1.066960	1.066960	1.066960
2026.01.02 05:00:00	1.066870	1.066870	1.066870	1.066870
2026.01.02 06:00:00	1.067030	1.067030	1.067030	1.067030
2026.01.02 07:00:00	1.067380	1.067380	1.067380	1.067380
2026.01.02 08:00:00	1.067420	1.067420	1.067420	1.067420
2026.01.02 09:00:00	1.067620	1.067620	1.067620	1.067620
2026.01.02 10:00:00	1.068210	1.068210	1.068210	1.068210
2026.01.02 11:00:00	1.067410	1.067410	1.067410	1.067410
2026.01.02 12:00:00	1.067770	1.067770	1.067770	1.067770
2026.01.02 13:00:00	1.066920	1.066920	1.066920	1.066920
2026.01.02 14:00:00	1.065880	1.065880	1.065880	1.065880
2026.01.02 15:00:00	1.066300	1.066300	1.066300	1.066300
2026.01.02 16:00:00	1.067230	1.067230	1.067230	1.067230
2026.01.02 17:00:00	1.066430	1.066430	1.066430	1.066430
2026.01.02 18:00:00	1.066710	1.066710	1.066710	1.066710
2026.01.02 19:00:00	1.067120	1.067120	1.067120	1.067120
2026.01.02 20:00:00	1.066040	1.066040	1.066040	1.066040
2026.01.02 21:00:00	1.065880	1.065880	1.065880	1.065880
2026.01.02 22:00:00	1.065550	1.065550	1.065550	1.065550
2026.01.02 23:00:00	1.066230	1.066230	1.066230	1.066230
2026.01.05 00:00:00	1.064520	1.064520	1.064520	1.064520
2026.01.05 01:00:00	1.065560	1.065560	1.065560	1.065560
2026.01.05 02:00:00	1.065850	1.065850	1.065850	1.065850
2026.01.05 03:00:00	1.065830	1.065830	1.065830	1.065830
2026.01.05 04:00:00	1.065340	1.065340	1.065340	1.065340
2026.01.05 05:00:00	1.065850	1.065850	1.065850	1.065850
2026.01.05 06:00:00	1.066350	1.066350	1.066350	1.066350
2026.01.05 07:00:00	1.066140	1.066140	1.066140	1.066140
2026.01.05 08:00:00	1.066260	1.066260	1.066260	1.066260
2026.01.05 09:00:00	1.066460	1.066460	1.066460	1.066460
2026.01.05 10:00:00	1.065870	1.065870	1.065870	1.065870
2026.01.05 11:00:00	1.067300	1.067300	1.067300	1.067300
2026.01.05 12:00:00	1.070450	1.070450	1.070450	1.070450
2026.01.05 13:00:00	1.069590	1.069590	1.069590	1.069590
