Number,Open Time,Close Time,Duratin Hours,Type,Max Step,Max Virtual Step,Profit,Balance
1,2026/1/02 9:53,2026/1/02 10:57,1.07,Long,2,2,29.7,4029.7
2,2026/1/02 12:07,2026/1/02 12:48,0.68,Long,1,1,10.5,4040.2
3,2026/1/02 14:42,2026/1/02 15:19,0.62,Short,1,1,27.9,4068.1
4,2026/1/02 15:41,2026/1/02 16:34,0.88,Long,2,2,29.7,4097.8
5,2026/1/05 9:30,2026/1/05 11:10,1.67,Short,2,2,42,4139.8
6,2026/1/05 11:17,2026/1/20 11:02,359.75,Long,5,8,242.03,4381.83
7,2026/1/06 14:54,2026/1/06 16:36,1.70,Short,2,2,42.9,4424.73
8,2026/1/07 15:14,2026/1/09 15:57,48.72,Short,5,6,203.34,4628.07
9,2026/1/12 9:20,2026/1/12 10:15,0.92,Short,2,2,33.6,4661.67
10,2026/1/13 16:39,2026/1/14 10:51,18.20,Short,3,3,117.86,4779.53
11,2026/1/14 17:57,2026/1/14 23:57,6.00,Short,3,3,96.45,4875.98
12,2026/1/15 12:41,2026/1/15 13:21,0.67,Short,3,3,57.69,4933.67
13,2026/1/15 15:08,2026/1/15 17:50,2.70,Short,2,2,34.2,4967.87
14,2026/1/16 1:13,2026/1/16 5:38,4.42,Short,2,2,38.1,5005.97
15,2026/1/16 15:20,2026/1/16 17:40,2.33,Short,2,2,33.6,5039.57
16,2026/1/16 19:12,2026/1/19 10:47,63.58,Short,5,5,148.61,5188.18
17,2026/1/20 8:40,2026/1/20 9:34,0.90,Short,2,2,31.5,5219.68
18,2026/1/20 10:54,2026/1/22 1:32,38.63,Short,5,6,347.13,5566.81
19,2026/1/20 15:22,2026/1/20 15:34,0.20,Long,2,2,53.4,5620.21
20,2026/1/21 9:44,2026/1/21 11:29,1.75,Long,2,2,47.4,5667.61
21,2026/1/21 15:54,2026/1/22 15:22,23.47,Long,5,6,267.84,5935.45
22,2026/1/22 2:41,2026/1/22 11:25,8.73,Short,3,3,92.87,6028.32
23,2026/1/22 15:09,2026/1/22 15:35,0.43,Short,3,3,68.36,6096.68
24,2026/1/22 17:05,2026/1/27 22:46,125.68,Long,5,5,430.27,6526.95
25,2026/1/23 16:40,2026/1/23 17:25,0.75,Short,1,1,25.2,6552.15
26,2026/1/23 19:21,2026/1/26 11:01,63.67,Short,5,5,342.49,6894.64
27,2026/1/26 15:41,2026/1/26 16:12,0.52,Short,2,2,52.5,6947.14
28,2026/1/26 18:03,2026/1/27 10:17,16.23,Short,2,2,72.9,7020.04
29,2026/1/27 11:54,2026/1/27 16:45,4.85,Short,2,2,61.8,7081.84
30,2026/1/27 17:45,2026/1/28 3:31,9.77,Short,4,4,143.68,7225.52
31,2026/1/28 0:06,2026/2/05 11:09,203.05,Long,5,5,706.72,7932.24
32,2026/1/28 11:47,2026/1/28 12:38,0.85,Short,1,1,20.1,7952.34
33,2026/1/29 12:02,2026/1/29 15:46,3.73,Short,2,2,54.6,8006.94
34,2026/1/29 17:44,2026/1/30 15:11,21.45,Short,2,2,109.2,8116.14
35,2026/1/30 17:51,2026/1/30 18:24,0.55,Short,2,2,101.1,8217.24
36,2026/1/30 20:34,2026/2/02 10:39,62.08,Short,2,2,63,8280.24
37,2026/2/03 1:08,2026/2/03 8:05,6.95,Short,2,2,51,8331.24
38,2026/2/03 18:42,2026/2/04 10:05,15.38,Short,4,4,163.05,8494.29
39,2026/2/04 16:59,2026/3/11 12:22,835.38,Short,5,10,385.47,8879.76
40,2026/2/06 9:23,2026/2/06 15:40,6.28,Long,4,4,167.23,9046.99
