Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,RTM_Dist_xATR,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points
2024.12.31 22:00,BUY,Yellow,Yellow,Red,Yellow,Green,0.00,FL,0.0,0.000,+1.00,0.0,BREAK,2,?,Off-Hours,0
2024.12.31 23:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,1.83,FL,30.8,0.323,-1.00,-63.5,EDGE,2,Trending,Off-Hours,36
2025.01.02 00:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,1.81,FL,30.8,0.323,-1.00,-68.2,EDGE,2,Trending,Tokyo,212
2025.01.02 01:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,1.14,DN,30.8,0.323,-1.00,-56.7,EDGE,2,Trending,Tokyo,110
2025.01.02 02:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,0.09,DN,30.8,0.323,-1.00,-45.9,EDGE,2,Trending,Tokyo,26
2025.01.02 03:00,BUY,Red,Green,Yellow,Yellow,Green,0.77,UP,29.3,0.173,-1.00,-27.8,EDGE,2,Trending,Tokyo,25
2025.01.02 04:00,BUY,Yellow,Green,Yellow,Green,Green,1.74,UP,29.3,0.173,+3.50,-12.4,EDGE,2,Trending,Tokyo,22
2025.01.02 05:00,BUY,Red,Green,Yellow,Green,Green,1.17,DN,29.3,0.173,+3.50,6.0,EDGE,2,Trending,Tokyo,23
2025.01.02 06:00,BUY,Yellow,Green,Yellow,Green,Green,1.33,FL,29.3,0.173,+3.50,-8.2,EDGE,2,Trending,Tokyo,19
2025.01.02 07:00,BUY,Yellow,Yellow,Yellow,Green,Green,0.98,DN,26.6,0.133,+3.50,-7.4,EDGE,2,Trending,Tokyo,25
2025.01.02 08:00,BUY,Yellow,Yellow,Yellow,Green,Green,0.97,FL,26.6,0.133,+3.50,-14.7,EDGE,2,Trending,Tokyo-London,23
2025.01.02 09:00,BUY,Yellow,Yellow,Yellow,Green,Green,1.17,UP,26.6,0.133,+3.50,-13.7,EDGE,2,Trending,London,19
2025.01.02 10:00,BUY,Green,Yellow,Yellow,Green,Green,2.23,UP,26.6,0.133,+3.50,-10.8,EDGE,2,Trending,London,19
2025.01.02 11:00,BUY,Green,Yellow,Yellow,Green,Green,2.67,UP,26.5,0.049,+4.50,9.1,EDGE,2,Trending,London,23
2025.01.02 12:00,BUY,Red,Yellow,Yellow,Green,Green,1.98,DN,26.5,0.049,+4.50,17.7,EDGE,2,Trending,London,21
2025.01.02 13:00,BUY,Green,Yellow,Yellow,Green,Green,2.22,UP,26.5,0.049,+4.50,4.5,EDGE,2,Trending,London-NewYork,19
2025.01.02 14:00,BUY,Red,Yellow,Yellow,Green,Green,1.51,DN,26.5,0.049,+4.50,9.1,EDGE,2,Trending,London-NewYork,17
2025.01.02 15:00,BUY,Green,Yellow,Yellow,Green,Green,2.02,UP,27.3,0.107,+4.50,-3.5,EDGE,2,Trending,London-NewYork,21
2025.01.02 16:00,BUY,Yellow,Yellow,Yellow,Green,Green,2.04,FL,27.3,0.107,+4.50,6.8,EDGE,2,Trending,London-NewYork,18
2025.01.02 17:00,BUY,Red,Yellow,Yellow,Green,Green,1.18,DN,27.3,0.107,+4.50,5.3,EDGE,2,Trending,New York,22
2025.01.02 18:00,BUY,Red,Yellow,Yellow,Green,Green,0.82,DN,27.3,0.107,+4.50,-10.4,EDGE,2,Trending,New York,18
2025.01.02 19:00,BUY,Yellow,Yellow,Yellow,Green,Green,0.68,FL,25.4,0.121,+4.50,-16.1,EDGE,2,Trending,New York,21
2025.01.02 20:00,BUY,Yellow,Yellow,Yellow,Green,Green,0.94,UP,25.4,0.121,+4.50,-41.2,EDGE,2,Trending,New York,20
2025.01.02 21:00,BUY,Yellow,Yellow,Yellow,Green,Green,0.77,FL,25.4,0.121,+4.50,-45.0,EDGE,2,Trending,New York,21
2025.01.02 22:00,BUY,Yellow,Yellow,Yellow,Green,Green,0.52,DN,25.4,0.121,+4.50,-41.0,EDGE,2,Trending,Off-Hours,17
2025.01.02 23:00,BUY,Yellow,Yellow,Yellow,Green,Green,1.00,UP,23.2,0.150,+4.50,-35.5,EDGE,2,Trending,Off-Hours,22
2025.01.03 00:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,0.13,DN,23.2,0.150,+1.50,-44.8,EDGE,2,Trending,Tokyo,212
2025.01.03 01:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,0.37,UP,23.2,0.150,+1.50,-30.0,EDGE,2,Trending,Tokyo,67
2025.01.03 02:00,BUY,Red,Yellow,Yellow,Yellow,Green,0.79,UP,23.2,0.150,+1.50,-33.8,EDGE,2,Trending,Tokyo,21
2025.01.03 03:00,BUY,Red,Yellow,Yellow,Yellow,Green,0.15,DN,21.0,0.004,+1.50,-12.2,EDGE,2,Trending,Tokyo,23
2025.01.03 04:00,BUY,Red,Yellow,Yellow,Yellow,Green,0.01,FL,21.0,0.004,+1.50,-24.7,EDGE,2,Trending,Tokyo,17
2025.01.03 05:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,0.18,FL,21.0,0.004,+1.50,-27.4,EDGE,2,Trending,Tokyo,22
2025.01.03 06:00,BUY,Red,Yellow,Yellow,Yellow,Green,0.45,UP,21.0,0.004,+1.50,-30.6,EDGE,2,Trending,Tokyo,22
2025.01.03 07:00,BUY,Red,Yellow,Yellow,Yellow,Green,0.73,UP,19.3,0.105,+1.50,-19.1,EDGE,2,Trending,Tokyo,23
2025.01.03 08:00,BUY,Red,Yellow,Yellow,Yellow,Green,0.51,DN,19.3,0.105,-0.75,-15.8,EDGE,2,Trending,Tokyo-London,21
