Snapshot_Time	Direction	RTM	ADX	D1	FLOW	ZOMBIE	CRISIS	RTM_Dist_xATR	RTM_Arrow	ADX_Val	EffRatio_H4	Flow_Score	Trend_Score	D1_Status	Zombie_Score	Zombie_MidShift_xATR	Regime	Session	Spread_Points
12/31/2024 22:00	BUY	Yellow	Yellow	Red	Yellow	Yellow	Green	0	FL	0	0	1	0	BREAK	0	0	?	Off-Hours	0
12/31/2024 23:00	BUY	Yellow	Yellow	Yellow	Yellow	Red	Green	1.83	FL	30.8	0.323	-1	-63.5	EDGE	2.3	2.33	Trending	Off-Hours	36
1/2/2025 0:00	BUY	Yellow	Yellow	Yellow	Yellow	Red	Green	1.81	FL	30.8	0.323	-1	-68.2	EDGE	2.4	2.35	Trending	Tokyo	212
1/2/2025 1:00	BUY	Yellow	Yellow	Yellow	Yellow	Red	Green	1.14	DN	30.8	0.323	-1	-56.7	EDGE	2.2	2.22	Trending	Tokyo	110
1/2/2025 2:00	BUY	Yellow	Yellow	Yellow	Yellow	Red	Green	0.09	DN	30.8	0.323	-1	-45.9	EDGE	2	1.97	Trending	Tokyo	26
1/2/2025 3:00	BUY	Red	Green	Yellow	Yellow	Red	Yellow	0.77	UP	29.3	0.173	-1	-27.8	EDGE	1.7	1.72	Trending	Tokyo	25
1/2/2025 4:00	BUY	Yellow	Green	Yellow	Green	Yellow	Green	1.74	UP	29.3	0.173	3.5	-12.4	EDGE	1.4	1.41	Trending	Tokyo	22
1/2/2025 5:00	BUY	Red	Green	Yellow	Green	Red	Yellow	1.17	DN	29.3	0.173	3.5	6	EDGE	1.6	1.56	Trending	Tokyo	23
1/2/2025 6:00	BUY	Yellow	Green	Yellow	Green	Red	Green	1.33	FL	29.3	0.173	3.5	-8.2	EDGE	1.5	1.52	Trending	Tokyo	19
1/2/2025 7:00	BUY	Yellow	Yellow	Yellow	Green	Red	Green	0.98	DN	26.6	0.133	3.5	-7.4	EDGE	1.6	1.61	Trending	Tokyo	25
1/2/2025 8:00	BUY	Yellow	Yellow	Yellow	Green	Red	Green	0.97	FL	26.6	0.133	3.5	-14.7	EDGE	1.6	1.59	Trending	Tokyo-London	23
1/2/2025 9:00	BUY	Yellow	Yellow	Yellow	Green	Red	Green	1.17	UP	26.6	0.133	3.5	-13.7	EDGE	1.5	1.52	Trending	London	19
1/2/2025 10:00	BUY	Green	Yellow	Yellow	Green	Yellow	Green	2.23	UP	26.6	0.133	3.5	-10.8	EDGE	1.2	1.21	Trending	London	19
1/2/2025 11:00	BUY	Green	Yellow	Yellow	Green	Yellow	Green	2.67	UP	26.5	0.049	4.5	9.1	EDGE	1	1.02	Trending	London	23
1/2/2025 12:00	BUY	Red	Yellow	Yellow	Green	Yellow	Green	1.98	DN	26.5	0.049	4.5	17.7	EDGE	1.1	1.14	Trending	London	21
1/2/2025 13:00	BUY	Green	Yellow	Yellow	Green	Yellow	Green	2.22	UP	26.5	0.049	4.5	4.5	EDGE	1	1.04	Trending	London-NewYork	19
1/2/2025 14:00	BUY	Red	Yellow	Yellow	Green	Yellow	Green	1.51	DN	26.5	0.049	4.5	9.1	EDGE	1.2	1.18	Trending	London-NewYork	17
1/2/2025 15:00	BUY	Green	Yellow	Yellow	Green	Yellow	Green	2.02	UP	27.3	0.107	4.5	-3.5	EDGE	1	1.01	Trending	London-NewYork	21
1/2/2025 16:00	BUY	Yellow	Yellow	Yellow	Green	Yellow	Green	2.04	FL	27.3	0.107	4.5	6.8	EDGE	1	0.98	Trending	London-NewYork	18
1/2/2025 17:00	BUY	Red	Yellow	Yellow	Green	Yellow	Green	1.18	DN	27.3	0.107	4.5	5.3	EDGE	1.2	1.17	Trending	New York	22
1/2/2025 18:00	BUY	Red	Yellow	Yellow	Green	Yellow	Green	0.82	DN	27.3	0.107	4.5	-10.4	EDGE	1.2	1.24	Trending	New York	18
1/2/2025 19:00	BUY	Yellow	Yellow	Yellow	Green	Red	Green	0.68	FL	25.4	0.121	4.5	-16.1	EDGE	1.6	1.62	Trending	New York	21
1/2/2025 20:00	BUY	Yellow	Yellow	Yellow	Green	Red	Green	0.94	UP	25.4	0.121	4.5	-41.2	EDGE	1.7	1.71	Trending	New York	20
1/2/2025 21:00	BUY	Yellow	Yellow	Yellow	Green	Red	Green	0.77	FL	25.4	0.121	4.5	-45	EDGE	1.7	1.68	Trending	New York	21
1/2/2025 22:00	BUY	Yellow	Yellow	Yellow	Green	Red	Green	0.52	DN	25.4	0.121	4.5	-41	EDGE	1.6	1.63	Trending	Off-Hours	17
1/2/2025 23:00	BUY	Yellow	Yellow	Yellow	Green	Red	Green	1	UP	23.2	0.15	4.5	-35.5	EDGE	1.7	1.72	Trending	Off-Hours	22
1/3/2025 0:00	BUY	Yellow	Yellow	Yellow	Yellow	Red	Green	0.13	DN	23.2	0.15	1.5	-44.8	EDGE	1.5	1.51	Trending	Tokyo	212
1/3/2025 1:00	BUY	Yellow	Yellow	Yellow	Yellow	Red	Green	0.37	UP	23.2	0.15	1.5	-30	EDGE	1.6	1.57	Trending	Tokyo	67
1/3/2025 2:00	BUY	Red	Yellow	Yellow	Yellow	Yellow	Green	0.79	UP	23.2	0.15	1.5	-33.8	EDGE	1.3	1.27	Trending	Tokyo	21
1/3/2025 3:00	BUY	Red	Yellow	Yellow	Yellow	Yellow	Green	0.15	DN	21	0.004	1.5	-12.2	EDGE	1.4	1.43	Trending	Tokyo	23
1/3/2025 4:00	BUY	Red	Yellow	Yellow	Yellow	Yellow	Green	0.01	FL	21	0.004	1.5	-24.7	EDGE	1.5	1.46	Trending	Tokyo	17
1/3/2025 5:00	BUY	Yellow	Yellow	Yellow	Yellow	Red	Green	0.18	FL	21	0.004	1.5	-27.4	EDGE	1.5	1.51	Trending	Tokyo	22
1/3/2025 6:00	BUY	Red	Yellow	Yellow	Yellow	Yellow	Green	0.45	UP	21	0.004	1.5	-30.6	EDGE	1.4	1.35	Trending	Tokyo	22
