Snapshot_Time	Direction	RTM	ADX	D1	FLOW	ZOMBIE	CRISIS	RTM_Dist_xATR	RTM_Arrow	ADX_Val	EffRatio_H4	Flow_Score	Trend_Score	D1_Status	Zombie_Score	Zombie_MidShift_xATR	Regime	Session	Spread_Points
12/31/2024 22:00	SELL	Yellow	Yellow	Green	Yellow	Yellow	Green	0	FL	0	0	-1.75	0	OK	0	0	?	Off-Hours	0
12/31/2024 23:00	SELL	Yellow	Green	Green	Yellow	Green	Green	1.83	FL	30.8	0.323	0.25	-63.5	OK	-2.3	-2.33	Trending	Off-Hours	36
1/2/2025 0:00	SELL	Yellow	Green	Green	Yellow	Green	Green	1.81	FL	30.8	0.323	0.25	-68.2	OK	-2.4	-2.35	Trending	Tokyo	212
1/2/2025 1:00	SELL	Red	Green	Green	Yellow	Green	Green	1.14	DN	30.8	0.323	0.25	-56.7	OK	-2.2	-2.22	Trending	Tokyo	110
1/2/2025 2:00	SELL	Red	Green	Green	Yellow	Green	Green	0.09	DN	30.8	0.323	0.25	-45.9	OK	-2	-1.97	Trending	Tokyo	26
1/2/2025 3:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	0.77	UP	29.3	0.173	0.25	-27.8	OK	-1.7	-1.72	Trending	Tokyo	25
1/2/2025 4:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	1.74	UP	29.3	0.173	-4.25	-12.4	OK	-1.4	-1.41	Trending	Tokyo	22
1/2/2025 5:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	1.17	DN	29.3	0.173	-4.25	6	OK	-1.6	-1.56	Trending	Tokyo	23
1/2/2025 6:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	1.33	FL	29.3	0.173	-4.25	-8.2	OK	-1.5	-1.52	Trending	Tokyo	19
1/2/2025 7:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	0.98	DN	26.6	0.133	-4.25	-7.4	OK	-1.6	-1.61	Trending	Tokyo	25
1/2/2025 8:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	0.97	FL	26.6	0.133	-4.25	-14.7	OK	-1.6	-1.59	Trending	Tokyo-London	23
1/2/2025 9:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	1.17	UP	26.6	0.133	-4.25	-13.7	OK	-1.5	-1.52	Trending	London	19
1/2/2025 10:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	2.23	UP	26.6	0.133	-4.25	-10.8	OK	-1.2	-1.21	Trending	London	19
1/2/2025 11:00	SELL	Red	Green	Green	Red	Green	Yellow	2.67	UP	26.5	0.049	-5.25	9.1	OK	-1	-1.02	Trending	London	23
1/2/2025 12:00	SELL	Yellow	Green	Green	Red	Green	Green	1.98	DN	26.5	0.049	-5.25	17.7	OK	-1.1	-1.14	Trending	London	21
1/2/2025 13:00	SELL	Yellow	Green	Green	Red	Green	Green	2.22	UP	26.5	0.049	-5.25	4.5	OK	-1	-1.04	Trending	London-NewYork	19
1/2/2025 14:00	SELL	Yellow	Green	Green	Red	Green	Green	1.51	DN	26.5	0.049	-5.25	9.1	OK	-1.2	-1.18	Trending	London-NewYork	17
1/2/2025 15:00	SELL	Yellow	Green	Green	Red	Green	Green	2.02	UP	27.3	0.107	-5.25	-3.5	OK	-1	-1.01	Trending	London-NewYork	21
1/2/2025 16:00	SELL	Yellow	Green	Green	Red	Green	Green	2.04	FL	27.3	0.107	-5.25	6.8	OK	-1	-0.98	Trending	London-NewYork	18
1/2/2025 17:00	SELL	Yellow	Green	Green	Red	Green	Green	1.18	DN	27.3	0.107	-5.25	5.3	OK	-1.2	-1.17	Trending	New York	22
1/2/2025 18:00	SELL	Yellow	Green	Green	Red	Green	Green	0.82	DN	27.3	0.107	-5.25	-10.4	OK	-1.2	-1.24	Trending	New York	18
1/2/2025 19:00	SELL	Red	Green	Green	Red	Green	Yellow	0.68	FL	25.4	0.121	-5.25	-16.1	OK	-1.6	-1.62	Trending	New York	21
1/2/2025 20:00	SELL	Yellow	Green	Green	Red	Green	Green	0.94	UP	25.4	0.121	-5.25	-41.2	OK	-1.7	-1.71	Trending	New York	20
1/2/2025 21:00	SELL	Red	Green	Green	Red	Green	Yellow	0.77	FL	25.4	0.121	-5.25	-45	OK	-1.7	-1.68	Trending	New York	21
1/2/2025 22:00	SELL	Red	Green	Green	Red	Green	Yellow	0.52	DN	25.4	0.121	-5.25	-41	OK	-1.6	-1.63	Trending	Off-Hours	17
1/2/2025 23:00	SELL	Yellow	Yellow	Green	Red	Green	Green	1	UP	23.2	0.15	-5.25	-35.5	OK	-1.7	-1.72	Trending	Off-Hours	22
1/3/2025 0:00	SELL	Red	Yellow	Green	Yellow	Green	Green	0.13	DN	23.2	0.15	-2.25	-44.8	OK	-1.5	-1.51	Trending	Tokyo	212
1/3/2025 1:00	SELL	Red	Yellow	Green	Yellow	Green	Green	0.37	UP	23.2	0.15	-2.25	-30	OK	-1.6	-1.57	Trending	Tokyo	67
1/3/2025 2:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	0.79	UP	23.2	0.15	-2.25	-33.8	OK	-1.3	-1.27	Trending	Tokyo	21
1/3/2025 3:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	0.15	DN	21	0.004	-2.25	-12.2	OK	-1.4	-1.43	Trending	Tokyo	23
1/3/2025 4:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	0.01	FL	21	0.004	-2.25	-24.7	OK	-1.5	-1.46	Trending	Tokyo	17
1/3/2025 5:00	SELL	Red	Yellow	Green	Yellow	Green	Green	0.18	FL	21	0.004	-2.25	-27.4	OK	-1.5	-1.51	Trending	Tokyo	22
1/3/2025 6:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	0.45	UP	21	0.004	-2.25	-30.6	OK	-1.4	-1.35	Trending	Tokyo	22
1/3/2025 7:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	0.73	UP	19.3	0.105	-2.25	-19.1	OK	-1.3	-1.29	Trending	Tokyo	23
1/3/2025 8:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	0.51	DN	19.3	0.105	0	-15.8	OK	-1.3	-1.33	Trending	Tokyo-London	21
1/3/2025 9:00	SELL	Yellow	Yellow	Green	Yellow	Green	Green	0.4	FL	19.3	0.105	0	-19.5	OK	-1.3	-1.35	Trending	London	21
1/3/2025 10:00	SELL	Red	Yellow	Green	Yellow	Green	Green	0.02	DN	19.3	0.105	0	-21.5	OK	-1.4	-1.44	Trending	London	22
1/3/2025 11:00	SELL	Yellow	Green	Green	Yellow	Green	Green	0.12	FL	18.8	0.036	0	-27.3	OK	-1.4	-1.4	Trending	London	22
