Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points
2024.12.31 22:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,0.0,0.000,-1.75,0.0,OK,-1,?,Off-Hours,0
2024.12.31 23:00,SELL,Red,Green,Green,Yellow,Green,OK,FL,30.8,0.323,+0.25,-63.5,OK,-1,Trending,Off-Hours,36
2025.01.02 00:00,SELL,Red,Green,Green,Yellow,Green,OK,FL,30.8,0.323,+0.25,-66.7,OK,-1,Trending,Tokyo,212
2025.01.02 01:00,SELL,Red,Green,Green,Yellow,Green,OK,FL,30.8,0.323,+0.25,-56.7,OK,-1,Trending,Tokyo,110
2025.01.02 02:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,30.8,0.323,+0.25,-45.9,OK,-1,Trending,Tokyo,26
2025.01.02 03:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,29.3,0.173,+0.25,-27.8,OK,-1,Trending,Tokyo,25
2025.01.02 04:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,29.3,0.173,-4.25,-12.4,OK,-1,Trending,Tokyo,22
2025.01.02 05:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,29.3,0.173,-4.25,6.0,OK,-1,Trending,Tokyo,23
2025.01.02 06:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,29.3,0.173,-4.25,-8.2,OK,-1,Trending,Tokyo,19
2025.01.02 07:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,26.6,0.133,-4.25,-7.4,OK,-1,Trending,Tokyo,25
2025.01.02 08:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,26.6,0.133,-4.25,-14.7,OK,-1,Trending,Tokyo-London,23
2025.01.02 09:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,26.6,0.133,-4.25,-13.7,OK,-1,Trending,London,19
2025.01.02 10:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,26.6,0.133,-4.25,-10.8,OK,-1,Trending,London,19
2025.01.02 11:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,26.5,0.049,-5.25,9.1,OK,-1,Trending,London,23
2025.01.02 12:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,26.5,0.049,-5.25,17.7,OK,-1,Trending,London,21
2025.01.02 13:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,26.5,0.049,-5.25,4.5,OK,-1,Trending,London-NewYork,19
2025.01.02 14:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,26.5,0.049,-5.25,9.1,OK,-1,Trending,London-NewYork,17
2025.01.02 15:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,27.3,0.107,-5.25,-3.5,OK,-1,Trending,London-NewYork,21
2025.01.02 16:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,27.3,0.107,-5.25,6.8,OK,-1,Trending,London-NewYork,18
2025.01.02 17:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,27.3,0.107,-5.25,5.3,OK,-1,Trending,New York,22
2025.01.02 18:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,27.3,0.107,-5.25,-10.4,OK,-1,Trending,New York,18
2025.01.02 19:00,SELL,Red,Green,Green,Red,Yellow,OK,FL,25.4,0.121,-5.25,-16.1,OK,-1,Trending,New York,21
2025.01.02 20:00,SELL,Red,Green,Green,Red,Yellow,OK,FL,25.4,0.121,-5.25,-41.2,OK,-1,Trending,New York,20
2025.01.02 21:00,SELL,Red,Green,Green,Red,Yellow,OK,FL,25.4,0.121,-5.25,-45.0,OK,-1,Trending,New York,21
2025.01.02 22:00,SELL,Red,Green,Green,Red,Yellow,OK,FL,25.4,0.121,-5.25,-41.0,OK,-1,Trending,Off-Hours,17
2025.01.02 23:00,SELL,Red,Yellow,Green,Red,Yellow,OK,FL,23.2,0.150,-5.25,-35.5,OK,-1,Trending,Off-Hours,22
2025.01.03 00:00,SELL,Red,Yellow,Green,Yellow,Green,OK,FL,23.2,0.150,-2.25,-44.8,OK,-1,Trending,Tokyo,212
2025.01.03 01:00,SELL,Red,Yellow,Green,Yellow,Green,OK,FL,23.2,0.150,-2.25,-30.0,OK,-1,Trending,Tokyo,67
2025.01.03 02:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,23.2,0.150,-2.25,-33.8,OK,-1,Trending,Tokyo,21
2025.01.03 03:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,21.0,0.004,-2.25,-12.2,OK,-1,Trending,Tokyo,23
2025.01.03 04:00,SELL,Red,Yellow,Green,Yellow,Green,OK,FL,21.0,0.004,-2.25,-24.7,OK,-1,Trending,Tokyo,17
2025.01.03 05:00,SELL,Red,Yellow,Green,Yellow,Green,OK,FL,21.0,0.004,-2.25,-27.4,OK,-1,Trending,Tokyo,22
2025.01.03 06:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,21.0,0.004,-2.25,-30.6,OK,-1,Trending,Tokyo,22
2025.01.03 07:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,19.3,0.105,-2.25,-19.1,OK,-1,Trending,Tokyo,23
2025.01.03 08:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,19.3,0.105,+0.00,-15.8,OK,-1,Trending,Tokyo-London,21
2025.01.03 09:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,19.3,0.105,+0.00,-19.5,OK,-1,Trending,London,21
2025.01.03 10:00,SELL,Red,Yellow,Green,Yellow,Green,OK,FL,19.3,0.105,+0.00,-21.5,OK,-1,Trending,London,22
2025.01.03 11:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,18.8,0.036,+0.00,-27.3,OK,-1,Trending,London,22
2025.01.03 12:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,18.8,0.036,-2.00,-25.4,OK,-1,Trending,London,18
2025.01.03 13:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,18.8,0.036,-2.00,-10.9,OK,-1,Trending,London-NewYork,21
