Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points
2024.12.31 20:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,0.0,0.000,-1.75,0.0,OK,2,?,New York,0
2024.12.31 21:00,SELL,Red,Green,Green,Yellow,Green,OK,FL,30.3,0.305,+0.25,-62.5,OK,2,Trending,New York,15
2025.01.02 01:00,SELL,Red,Green,Green,Yellow,Green,OK,FL,30.3,0.305,+0.25,-64.9,OK,2,Trending,Tokyo,56
2025.01.02 02:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,30.3,0.305,+0.25,-53.2,OK,2,Trending,Tokyo,10
2025.01.02 03:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,27.0,0.182,+0.25,-34.3,OK,2,Trending,Tokyo,13
2025.01.02 04:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,27.0,0.182,-4.25,-18.3,OK,2,Trending,Tokyo,11
2025.01.02 05:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,27.0,0.182,-4.25,0.9,OK,2,Trending,Tokyo,10
2025.01.02 06:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,27.0,0.182,-4.25,-13.2,OK,2,Trending,Tokyo,10
2025.01.02 07:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,26.4,0.128,-4.25,-11.4,OK,2,Trending,Tokyo,11
2025.01.02 08:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,26.4,0.128,-4.25,-18.9,OK,2,Trending,Tokyo-London,13
2025.01.02 09:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,26.4,0.128,-4.25,-18.0,OK,2,Trending,London,10
2025.01.02 10:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,26.4,0.128,-4.25,-14.5,OK,2,Trending,London,12
2025.01.02 11:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,28.0,0.053,-4.25,5.4,OK,2,Trending,London,13
2025.01.02 12:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,28.0,0.053,-5.25,14.2,OK,2,Trending,London,11
2025.01.02 13:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,28.0,0.053,-5.25,1.6,OK,2,Trending,London-NewYork,9
2025.01.02 14:00,SELL,Yellow,Green,Green,Red,Green,OK,FL,28.0,0.053,-5.25,6.2,OK,2,Trending,London-NewYork,12
2025.01.02 15:00,SELL,Yellow,Green,Green,Red,Yellow,OK,FL,30.1,0.115,-5.25,-6.0,OK,2,Trending,London-NewYork,9
2025.01.02 16:00,SELL,Yellow,Green,Green,Red,Yellow,OK,FL,30.1,0.115,-5.25,4.5,OK,2,Trending,London-NewYork,9
2025.01.02 17:00,SELL,Yellow,Green,Green,Red,Yellow,OK,FL,30.1,0.115,-5.25,3.6,OK,2,Trending,New York,9
2025.01.02 18:00,SELL,Yellow,Green,Green,Red,Yellow,OK,FL,30.1,0.115,-5.25,-12.5,OK,2,Trending,New York,9
2025.01.02 19:00,SELL,Red,Green,Green,Red,Yellow,OK,FL,29.0,0.128,-5.25,-17.8,OK,2,Trending,New York,8
2025.01.02 20:00,SELL,Red,Green,Green,Red,Yellow,OK,FL,29.0,0.128,-5.25,-42.8,OK,2,Trending,New York,7
2025.01.02 21:00,SELL,Red,Green,Green,Red,Yellow,OK,FL,29.0,0.128,-5.25,-46.6,OK,2,Trending,New York,11
2025.01.02 22:00,SELL,Red,Green,Green,Red,Yellow,OK,FL,29.0,0.128,-5.25,-42.6,OK,2,Trending,Off-Hours,11
2025.01.02 23:00,SELL,Red,Yellow,Green,Yellow,Green,OK,FL,25.2,0.127,-2.25,-37.2,OK,2,Trending,Off-Hours,13
2025.01.03 00:00,SELL,Red,Yellow,Green,Yellow,Green,OK,FL,25.2,0.127,-2.25,-46.0,OK,2,Trending,Tokyo,115
2025.01.03 01:00,SELL,Red,Yellow,Green,Yellow,Green,OK,FL,25.2,0.127,-2.25,-32.2,OK,2,Trending,Tokyo,20
2025.01.03 02:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,FL,25.2,0.127,-2.25,-35.6,OK,2,Trending,Tokyo,15
2025.01.03 03:00,SELL,Yellow,Green,Green,Yellow,Green,OK,FL,24.1,0.004,-2.25,-13.7,OK,2,Trending,Tokyo,10
2025.01.03 04:00,SELL,Red,Green,Green,Yellow,Green,OK,FL,24.1,0.004,-2.25,-26.2,OK,2,Trending,Tokyo,12
2025.01.03 05:00,SELL,Red,Green,Green,Yellow,Green,OK,FL,24.1,0.004,-2.25,-28.5,OK,2,Trending,Tokyo,11
