Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,MktPhase,MktRatio,Spike,SpikeScore,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,Zombie_Zone,AUDCAD_l_Rule
2025.12.31 20:00,BUY,Yellow,Yellow,Yellow,Yellow,Green,OK,Range,0.619,Normal,0.661,0,0,1,-1.4,0,Run
2025.12.31 21:00,BUY,Yellow,Green,Yellow,Yellow,Green,OK,Range,0.645,Normal,0.696,27.8,0.106,1,-7.8,0,Run
2026.01.02 01:00,BUY,Yellow,Green,Green,Yellow,Green,OK,Range,0.645,Normal,1.404,27.8,0.106,1,18.2,0,Run
2026.01.02 02:00,BUY,Red,Green,Green,Yellow,Green,OK,Range,0.645,Normal,1.186,27.8,0.106,1,29,0,Run
2026.01.02 03:00,BUY,Yellow,Yellow,Green,Yellow,Green,OK,Range,0.645,Normal,1.475,24.6,0.199,1,39.4,0,Run
2026.01.02 04:00,BUY,Yellow,Yellow,Green,Yellow,Green,OK,Range,0.645,Warning,1.594,24.6,0.199,1,42.8,0,Run
2026.01.02 05:00,BUY,Green,Yellow,Green,Yellow,Green,OK,Range,0.645,Warning,1.512,24.6,0.199,1,48.5,0,Run
2026.01.02 06:00,BUY,Green,Yellow,Green,Yellow,Green,OK,Range,0.645,Normal,1.472,24.6,0.199,1,52.2,0,Run
2026.01.02 07:00,BUY,Yellow,Yellow,Green,Yellow,Green,OK,Range,0.645,Normal,1.048,23.7,0.232,1,44.5,0,Run
2026.01.02 08:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Range,0.645,Normal,0.954,23.7,0.232,5.5,39.2,0,Run
2026.01.02 09:00,BUY,Red,Yellow,Green,Green,Green,OK,Range,0.645,Warning,1.562,23.7,0.232,5.5,28,0,Run
2026.01.02 10:00,BUY,Green,Yellow,Green,Green,Green,OK,Range,0.645,Normal,1.449,23.7,0.232,5.5,56.3,0,Run
2026.01.02 11:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Range,0.645,Normal,0.941,23.9,0.204,5.5,51.9,0,Run
2026.01.02 12:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Range,0.645,Normal,1.182,23.9,0.204,8.5,48.3,0,Run
2026.01.02 13:00,BUY,Red,Yellow,Green,Green,Green,OK,Range,0.645,Normal,1.499,23.9,0.204,8.5,36.5,0,Run
2026.01.02 14:00,BUY,Green,Yellow,Green,Green,Green,OK,Range,0.645,Normal,1.281,23.9,0.204,8.5,46.9,0,Run
2026.01.02 15:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Range,0.645,Normal,0.869,24.2,0.014,8.5,42.4,0,Run
2026.01.02 16:00,BUY,Green,Yellow,Green,Green,Green,OK,Range,0.645,Normal,1.437,24.2,0.014,8.5,53.8,0,Run
2026.01.02 17:00,BUY,Red,Yellow,Green,Green,Green,OK,Range,0.645,Warning,1.952,24.2,0.014,8.5,19.3,0,Run
2026.01.02 18:00,BUY,Yellow,Yellow,Green,Green,Green,OK,Range,0.645,Normal,0.714,24.2,0.014,8.5,25.9,0,Run
2026.01.02 19:00,BUY,Green,Yellow,Green,Green,Green,OK,Range,0.645,Normal,1.268,25.2,0.171,4.5,32.6,0,Run
2026.01.02 20:00,BUY,Red,Yellow,Green,Green,Green,OK,Range,0.645,Normal,1.267,25.2,0.171,4.5,25.2,0,Run
2026.01.02 21:00,BUY,Green,Yellow,Green,Green,Green,OK,Range,0.645,Normal,1.139,25.2,0.171,4.5,33.4,0,Run
2026.01.02 22:00,BUY,Green,Yellow,Green,Green,Green,OK,Range,0.645,Warning,1.737,25.2,0.171,4.5,45.4,0,Run
2026.01.02 23:00,BUY,Red,Yellow,Green,Yellow,Green,OK,Range,0.669,Normal,1.394,26.1,0.222,0.5,27,0,Run
2026.01.05 00:00,BUY,Yellow,Yellow,Green,Yellow,Green,OK,Range,0.669,Warning,1.538,26.1,0.222,0.5,25,0,Run
2026.01.05 01:00,BUY,Green,Yellow,Green,Yellow,Green,OK,Range,0.669,Warning,1.672,26.1,0.222,0.5,32.5,0,Run
2026.01.05 02:00,BUY,Red,Yellow,Green,Yellow,Green,OK,Range,0.669,Normal,1.355,26.1,0.222,0.5,18.7,0,Run
2026.01.05 03:00,BUY,Yellow,Yellow,Green,Yellow,Yellow,OK,Range,0.669,Normal,1.2,24.7,0.168,-4,26.9,0,Run
2026.01.05 04:00,BUY,Yellow,Yellow,Green,Yellow,Yellow,OK,Range,0.669,Normal,1.427,24.7,0.168,-4,35,0,Run
2026.01.05 05:00,BUY,Red,Yellow,Green,Yellow,Yellow,OK,Range,0.669,Normal,1.153,24.7,0.168,-4,26,0,Run
2026.01.05 06:00,BUY,Yellow,Yellow,Green,Yellow,Yellow,OK,Range,0.669,Normal,1.086,24.7,0.168,-4,29,0,Run
2026.01.05 07:00,BUY,Green,Green,Green,Yellow,Yellow,OK,Range,0.669,Warning,1.706,23.5,0.334,-4,36.7,0,Run
