Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,MktPhase,MktRatio,Spike,SpikeScore,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,Zombie_Zone,AUDCAD_l_Rule
2025.12.31 20:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Range,0.619,Normal,0.661,0,0,-1.75,-1.4,0,Run
2025.12.31 21:00,SELL,Red,Yellow,Yellow,Yellow,Green,OK,Range,0.645,Normal,0.696,27.8,0.106,-1.75,-7.8,0,Run
2026.01.02 01:00,SELL,Red,Yellow,Yellow,Yellow,Green,OK,Range,0.645,Normal,1.404,27.8,0.106,-1.75,18.2,0,Run
2026.01.02 02:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Range,0.645,Normal,1.186,27.8,0.106,-1.75,29,0,Run
2026.01.02 03:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Range,0.645,Normal,1.475,24.6,0.199,-1.75,39.4,0,Run
2026.01.02 04:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Range,0.645,Warning,1.594,24.6,0.199,-1.75,42.8,0,Run
2026.01.02 05:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Range,0.645,Warning,1.512,24.6,0.199,-1.75,48.5,0,Run
2026.01.02 06:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Range,0.645,Normal,1.472,24.6,0.199,-1.75,52.2,0,Run
2026.01.02 07:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Range,0.645,Normal,1.048,23.7,0.232,-1.75,44.5,0,Run
2026.01.02 08:00,SELL,Yellow,Yellow,Yellow,Red,Yellow,OK,Range,0.645,Normal,0.954,23.7,0.232,-6.25,39.2,0,Run
2026.01.02 09:00,SELL,Yellow,Yellow,Yellow,Red,Yellow,OK,Range,0.645,Spike,1.562,23.7,0.232,-6.25,28,0,Stop
2026.01.02 10:00,SELL,Red,Yellow,Yellow,Red,Yellow,OK,Range,0.645,Warning,1.449,23.7,0.232,-6.25,56.3,0,Stop
2026.01.02 11:00,SELL,Yellow,Yellow,Yellow,Red,Yellow,OK,Range,0.645,Normal,0.941,23.9,0.204,-6.25,51.9,0,Stop
2026.01.02 12:00,SELL,Yellow,Yellow,Yellow,Red,Yellow,OK,Range,0.645,Warning,1.182,23.9,0.204,-9.25,48.3,0,Stop
2026.01.02 13:00,SELL,Yellow,Yellow,Yellow,Red,Yellow,OK,Range,0.645,Warning,1.499,23.9,0.204,-9.25,36.5,0,Stop
