Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,KILLER,MktPhase,MktRatio,Spike,SpikeScore,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points,EURGBP_l_Rule
2025.12.31 20:00,SELL,Yellow,Yellow,Yellow,Yellow,Green,OK,Green,Range,0.783,Normal,0.974,FL,0.0,0.000,+0.00,-22.6,EDGE,2,?,New York,0,Run
2025.12.31 21:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.718,Normal,0.666,FL,25.0,0.004,+0.00,-18.6,OK,2,Trending,New York,12,Run
2026.01.02 01:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.718,Normal,0.830,FL,25.0,0.004,+0.00,-13.6,OK,2,Trending,Tokyo,62,Run
2026.01.02 02:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.718,Normal,0.565,FL,25.0,0.004,+0.00,-15.1,OK,2,Trending,Tokyo,17,Run
2026.01.02 03:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.718,Normal,0.576,FL,22.2,0.076,+2.00,-15.5,OK,2,Trending,Tokyo,18,Run
2026.01.02 04:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.718,Normal,0.778,UP,22.2,0.076,+2.00,-17.6,OK,2,Trending,Tokyo,18,Run
2026.01.02 05:00,SELL,Red,Yellow,Green,Yellow,Green,OK,Green,Range,0.718,Normal,0.937,DN,22.2,0.076,+2.00,-7.8,OK,2,Trending,Tokyo,15,Run
2026.01.02 06:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.718,Normal,0.461,UP,22.2,0.076,+2.00,-10.5,OK,2,Trending,Tokyo,15,Run
2026.01.02 07:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.718,Normal,1.088,FL,19.7,0.162,+0.00,-7.5,OK,2,Trending,Tokyo,16,Run
2026.01.02 08:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.718,Normal,1.269,UP,19.7,0.162,+0.00,-14.1,OK,2,Trending,Tokyo-London,20,Run
2026.01.02 09:00,SELL,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.718,Normal,1.388,UP,19.7,0.162,+0.00,-22.1,OK,2,Trending,London,17,Run
2026.01.02 10:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.718,Normal,1.111,FL,19.7,0.162,+0.00,-16.3,OK,2,Trending,London,18,Run
2026.01.02 11:00,SELL,Green,Yellow,Green,Green,Green,OK,Green,Range,0.718,Normal,1.751,UP,19.4,0.061,+6.00,-28.2,OK,2,Trending,London,16,Run
